track_uri,term,index,as_of_date
spotify:track:3i7Z0CI7QIwnU4MVL0XJB9,medium_term,18,2024-02-13
spotify:track:4Pp6Ql9wV7A6VqHrmjMFv4,medium_term,19,2024-02-13
spotify:track:51vRumtqbkNW9wrKfESwfu,medium_term,20,2024-02-13
spotify:track:14nturKxV48wR3lbknehiu,medium_term,21,2024-02-13
spotify:track:1y8tPIOh9kR3eQE6TeBCwe,medium_term,22,2024-02-13
spotify:track:3syxwxJqX5jpgjNYmvzdW6,medium_term,23,2024-02-13
spotify:track:5Q1tv4GTxP3IJeGMOKdrFO,medium_term,24,2024-02-13
spotify:track:6A1dCPrUYhg56ukp4zlEUw,medium_term,25,2024-02-13
spotify:track:1IgRQvTqj7BKjNWRzjFEE0,medium_term,26,2024-02-13
spotify:track:2gyCwrOcC6JBoaJ8JGJ7T8,medium_term,27,2024-02-13
spotify:track:2uJEnyojuGg31VVlLTQFpp,medium_term,28,2024-02-13
spotify:track:4g6ZT8vgKNq4iyEbezr3yI,medium_term,29,2024-02-13
spotify:track:1qNk7XPTbyuO4bsDl0T6nN,medium_term,30,2024-02-13
spotify:track:4loUHO28CuvSbEiZXId1BD,medium_term,31,2024-02-13
spotify:track:3QSjVPObHxuAJc3E5nrjRn,medium_term,32,2024-02-13
spotify:track:1o844wI52S3TjXGBwvGcc7,medium_term,33,2024-02-13
spotify:track:1qosh64U6CR5ki1g1Rf2dZ,medium_term,34,2024-02-13
spotify:track:3dbLT62Cvs46Ju7a8gpr36,medium_term,35,2024-02-13
spotify:track:4JmbtS0Muijl37KP9lDscy,medium_term,36,2024-02-13
spotify:track:3OQWohbPUsvbXaH1AiRazX,medium_term,37,2024-02-13
spotify:track:4lQsB3ERTWSNaAN1IkuNRl,medium_term,38,2024-02-13
spotify:track:5BCPIye83pj24VjCzQuL5F,medium_term,39,2024-02-13
spotify:track:5nTemr4PG8L9jQoqxsZu6w,medium_term,40,2024-02-13
spotify:track:6koMMQlsRWBwHZXdtWxgUk,medium_term,41,2024-02-13
spotify:track:1pvBm1ydKLXorYDdlIAeuj,medium_term,42,2024-02-13
spotify:track:2DmRXiyn03tOqKgEJXlaiJ,medium_term,43,2024-02-13
spotify:track:7uyeEbG6hyApgXuEypGcsZ,medium_term,44,2024-02-13
spotify:track:4fg42mtrSFuKQ9NYBboiiN,medium_term,45,2024-02-13
spotify:track:14jjsKr5HwNhZ18MJR5hYn,medium_term,46,2024-02-13
spotify:track:0jFHMDRXxKaREor3hBEEST,medium_term,47,2024-02-13
spotify:track:58ItBuVuKc03DvqSeZFnH1,medium_term,48,2024-02-13
spotify:track:1HnJhU3MhAnRQzdkFm6xQr,medium_term,49,2024-02-13
spotify:track:1MsWVb6YW3AknP1EAZaKOQ,medium_term,50,2024-02-13
spotify:track:5XWlyfo0kZ8LF7VSyfS4Ew,short_term,1,2024-02-13
spotify:track:0aUWfpD3PlSv3FTTKcT2rN,short_term,2,2024-02-13
spotify:track:0nYtg6MqCDmolLI5vsSAy1,short_term,3,2024-02-13
spotify:track:1hYQUY06GbO7YR8QeO7Qdk,short_term,4,2024-02-13
spotify:track:1ukyvyEeSg1odSQvhlRAIU,short_term,5,2024-02-13
spotify:track:2tEuf4YE9NbDO39DI35QZd,short_term,6,2024-02-13
spotify:track:38zsOOcu31XbbYj9BIPUF1,short_term,7,2024-02-13
spotify:track:6EGkbPJrb88STcdfMu1j1y,short_term,8,2024-02-13
spotify:track:3qWCIDzq2fBeCMNOL27XLX,short_term,9,2024-02-13
spotify:track:3mSoxi4aC7oiTGJjsLLkaM,short_term,10,2024-02-13
spotify:track:4zIPZxvYp32y6ifjm1E30O,short_term,11,2024-02-13
spotify:track:4C7PyWUlTLUUgVZQVboCma,short_term,12,2024-02-13
spotify:track:5Q1tv4GTxP3IJeGMOKdrFO,short_term,13,2024-02-13
spotify:track:5qI5EUqfDJpQ7w6sMECK7U,short_term,14,2024-02-13
spotify:track:6WJTEsLxWtSIlXML3NVSzA,short_term,15,2024-02-13
spotify:track:1y8tPIOh9kR3eQE6TeBCwe,short_term,16,2024-02-13
spotify:track:0djkJ3iAARXRCbfbwwVc3o,short_term,17,2024-02-13
spotify:track:4SFknyjLcyTLJFPKD2m96o,short_term,18,2024-02-13
spotify:track:0nwTMzpatarzvLvtwwzdCt,short_term,19,2024-02-13
spotify:track:1oew3nFNY3vMacJAsvry0S,short_term,20,2024-02-13
spotify:track:1pZn8AX1WulW8IO338hE5D,short_term,21,2024-02-13
spotify:track:1xicvSO4CJ2ymqYgpk7DFh,short_term,22,2024-02-13
spotify:track:22sIPXiQzcPydCC6skPPPq,short_term,23,2024-02-13
spotify:track:245onUPHGD1DYuiacxTuW0,short_term,24,2024-02-13
spotify:track:2M7EflZCPCqqRLB9hy5MDy,short_term,25,2024-02-13
spotify:track:2ZfnsQ81jNuY4MHAshnxyp,short_term,26,2024-02-13
spotify:track:2b2Nibg3lTUTKctwwb7bEv,short_term,27,2024-02-13
spotify:track:2t3b5MZMzsArvQflOUo804,short_term,28,2024-02-13
spotify:track:39LmTF9RgyakzSYX8txrow,short_term,29,2024-02-13
spotify:track:3Wu4lFjkhcXxB6WWaX9gtr,short_term,30,2024-02-13
spotify:track:3cGp1jXxLReLKz7QgVbWZR,short_term,31,2024-02-13
spotify:track:3i7Z0CI7QIwnU4MVL0XJB9,short_term,32,2024-02-13
spotify:track:3oakOXOSbmxLo29KVhymY3,short_term,33,2024-02-13
spotify:track:42UNd3AFYei50ztCyAKhWl,short_term,34,2024-02-13
spotify:track:45h4cCw7ccsRXb0Orle2an,short_term,35,2024-02-13
spotify:track:4YylO6SIzXFvUTxnQhUaQA,short_term,36,2024-02-13
spotify:track:4fg42mtrSFuKQ9NYBboiiN,short_term,37,2024-02-13
spotify:track:4smkJW6uzoHxGReZqqwHS5,short_term,38,2024-02-13
spotify:track:51vRumtqbkNW9wrKfESwfu,short_term,39,2024-02-13
spotify:track:65ZHlbTuPrZggbmYCVjPL4,short_term,40,2024-02-13
spotify:track:65eRcjlStTnk8opG5eIQ8Z,short_term,41,2024-02-13
spotify:track:6BVmygBQhe4pTZQgKkzstD,short_term,42,2024-02-13
spotify:track:6UgkB0xM45TR3Zjqm3GQ6T,short_term,43,2024-02-13
spotify:track:6bdrK3DnKZWfAsvO21oj1q,short_term,44,2024-02-13
spotify:track:6k67RdkVjTZj79c1cRz7IQ,short_term,45,2024-02-13
spotify:track:6l1dTAhX7P6EKvA11NLNuW,short_term,46,2024-02-13
spotify:track:6pRNRlI9z4fHI4CQfYHsWv,short_term,47,2024-02-13
spotify:track:6wBpO4Xc4YgShnENGSFA1M,short_term,48,2024-02-13
spotify:track:72PwtNhRrZXNnYeRg5xQ46,short_term,49,2024-02-13
spotify:track:73SpzrcaHk0RQPFP73vqVR,short_term,50,2024-02-13
spotify:track:24nK8tW7Pt3Inh2utttuoG,long_term,1,2024-02-10
spotify:track:3dbLT62Cvs46Ju7a8gpr36,long_term,2,2024-02-10
spotify:track:5GKwq4sO5ZHKuWaDmdwMQc,long_term,3,2024-02-10
spotify:track:0ZeGfEAL5Rl4pd5LZBGuEK,long_term,4,2024-02-10
spotify:track:2zrhoHlFKxFTRF5aMyxMoQ,long_term,5,2024-02-10
spotify:track:6hvczQ05jc1yGlp9zhb95V,long_term,6,2024-02-10
spotify:track:1exnDFdC34GyBcaLt9ZJfX,long_term,7,2024-02-10
spotify:track:7qq0EOPW4RRlqdvMBmdd73,long_term,8,2024-02-10
spotify:track:5QGooKayQPVZMUDc8Qt3Dm,long_term,9,2024-02-10
spotify:track:1VjIS4qoyD6JS2rNZQgE00,long_term,10,2024-02-10
spotify:track:4as4XEOR03oGm1STUKl6pa,long_term,11,2024-02-10
spotify:track:1XnpzbOGptRwfJhZgLbmSr,long_term,12,2024-02-10
spotify:track:5HiSc2ZCGn8L3cH3qSwzBT,long_term,13,2024-02-10
spotify:track:4BSluGpjdLQihMmKgHXMxp,long_term,14,2024-02-10
spotify:track:4SFknyjLcyTLJFPKD2m96o,long_term,15,2024-02-10
spotify:track:56Yxkm62GtEpnPyG7TvwLY,long_term,16,2024-02-10
spotify:track:2ezKXygNO30pXyDQXkm6oD,long_term,17,2024-02-10
spotify:track:6mavVLsxaa4YcPje9qZKcf,long_term,18,2024-02-10
spotify:track:37ZtpRBkHcaq6hHy0X98zn,long_term,19,2024-02-10
