name,collaborative,public,uri,image_url,owner
Disney,False,True,spotify:playlist:6OHUelObHhiWFkbH4cwFMg,https://mosaic.scdn.co/640/ab67616d00001e022a8b6ce34511614c9373f423ab67616d00001e022bf585fa65e5608b365f4909ab67616d00001e02597905f8f46dfc60f5a6d11fab67616d00001e02660aadbda2da6b1c2dd3d1a5,jbrown1.618
Classical Samples,False,True,spotify:playlist:6Pp6fPWxumAQQLVE68SVtY,https://mosaic.scdn.co/640/ab67616d00001e0282b88b49dd9a1b387cb3f0c6ab67616d00001e0293f60760427ff9cb94a5ba96ab67616d00001e02d2ef237da7f94762997c2083ab67616d00001e02e9cd59d664f597061a513038,jbrown1.618
애교！,False,True,spotify:playlist:6WTiB2kj3G2g3eYqornNd2,https://mosaic.scdn.co/640/ab67616d00001e021544041d0285585cc92c2709ab67616d00001e0235cdd6d3f5815afac043758eab67616d00001e02714e56679ab196354e2e443eab67616d00001e0282f9c612adc8bc8d1d62461a,jbrown1.618
Recommendations for Chris,False,True,spotify:playlist:6atwS5eWP6rLUWSuDkuMd8,https://mosaic.scdn.co/640/ab67616d00001e021869a85947a5ea00df8c936fab67616d00001e025048ed32fafe7b9a50d0e410ab67616d00001e028c4a282e84a53c1c8acf129aab67616d00001e02d8cc2281fcd4519ca020926b,jbrown1.618
String Quartets,False,True,spotify:playlist:6b3mJeJjM9S5XAIS8jcTAt,https://mosaic.scdn.co/640/ab67616d00001e021d9ef8e92370053b06f8c9ecab67616d00001e027cb0c702a8fd45bfd8358259ab67616d00001e02f1e24654c624c58911f179b5ab67616d00001e02ff17a9c684ec4757c8c026b0,jbrown1.618
Classic Pop,False,True,spotify:playlist:6oXUc88JlAQTNdKvn529pD,https://mosaic.scdn.co/640/ab67616d00001e0206ce0d1f846c525e847d60e7ab67616d00001e0222219b7ba681368a16c219feab67616d00001e0223350feac07f56d8b96f33d5ab67616d00001e026aa9314b7ddfbd8f036ba3ac,jbrown1.618
K-OST,False,True,spotify:playlist:6rOVckcfZ6oCN6seCH4GWr,https://mosaic.scdn.co/640/ab67616d00001e020f5c597bba60a1e0c5364baaab67616d00001e0247d4fcf597d9aee2d5a34e8eab67616d00001e025ccb1b40b2081fff238473bbab67616d00001e02c6633dda2aa449c5650c14be,jbrown1.618
Karaoke,False,True,spotify:playlist:784bxrrG3W6L0naOkaCL5F,https://mosaic.scdn.co/640/ab67616d00001e022160c02bc56f192df0f4986bab67616d00001e027cdb143bd2e9906d39c5eb04ab67616d00001e02dc30583ba717007b00cceb25ab67616d00001e02df55e326ed144ab4f5cecf95,jbrown1.618
Chill,False,True,spotify:playlist:79HDmDfCjzdHS3oWXdgHGb,https://mosaic.scdn.co/640/ab67616d00001e022c0252c4e4a988f024e4d262ab67616d00001e026772cf096be8acc1df092519ab67616d00001e029c7eb20dfbb2150f55c9debdab67616d00001e02eb136d1be54b1ef8273c0699,jbrown1.618
A Cappella,False,True,spotify:playlist:7LQjtpZ8EZ5vWXgPoovFeC,https://mosaic.scdn.co/640/ab67616d00001e025d990e8b45c848dc22885f89ab67616d00001e0262f44cdb37183a309fc1032fab67616d00001e0284470dd6235917e2e40e11f0ab67616d00001e02bb7018e16a77e5ce4744fa93,jbrown1.618
Rachmaninov,False,True,spotify:playlist:7LeSS5dq68CWVIOy81oza1,https://i.scdn.co/image/ab67616d00001e022ab037775757e856d496f2f5,jbrown1.618
Brahms,False,True,spotify:playlist:7MnYdeDrgvc9PoWHqcGVeq,https://i.scdn.co/image/ab67616d00001e0217adbf4b1899ea006e880996,jbrown1.618
Christmas,True,True,spotify:playlist:7fuGiFfUaZPvDH5eSyfMr8,https://mosaic.scdn.co/640/ab67616d00001e020c053ee476f7ce576369241eab67616d00001e02119e4094f07a8123b471ac1dab67616d00001e022a0face7d69df61c20a6db2bab67616d00001e02cfbcba7cc35a40e08e5aff67,jbrown1.618
A-Pop Favorites,False,True,spotify:playlist:7hmRwiUOGV2mmgqXmsjqL2,https://mosaic.scdn.co/640/ab67616d00001e02022b4010e20659300f42c375ab67616d00001e02527d94ecf554774fc313bf48ab67616d00001e02c8b444df094279e70d0ed856ab67616d00001e02d0ec2db731952a7efabc6397,jbrown1.618
Tarps,False,True,spotify:playlist:7i18RgdYPOv5E01eGmtRCo,https://mosaic.scdn.co/640/ab67616d00001e0203668e3f13559554eca8ccc6ab67616d00001e020eb56329734f9400c1639359ab67616d00001e0214ed51ab46ef0765182bb8a0ab67616d00001e02987a1825341694ec9bc62457,jbrown1.618
Hip Hop,False,True,spotify:playlist:7trD87dfibqZnzSIqufO75,https://mosaic.scdn.co/640/ab67616d00001e020b1cfc3df4d9d5d4cbce9208ab67616d00001e0210356a0e81371e6644cb1371ab67616d00001e02c08d5fa5c0f1a834acef5100ab67616d00001e02c450c89d3eb750d3535b0a0c,jbrown1.618
