name,popularity,explicit,duration_ms,uri,album_uri,isrc
Brain Damage,69,False,226666,spotify:track:05uGBKRCuePsf43Hfm0JwX,spotify:album:4LH4d3cOWNNsVw41Gqt2kv,GBN9Y1100140
Walking On Sunshine,80,False,238733,spotify:track:05wIrZSwuaVWhcv5FfqeH0,spotify:album:1UQG78YJjaBySRMh0A8Uw7,USCA28500452
"Nocturne No. 19 In E Minor, Op. 72 No. 1",44,False,215173,spotify:track:068BPNYklLpBX6VhMCKsUX,spotify:album:2aoSpTAjFaMvaZeruqnCVv,DEN960531219
"Sincerely, Jane",33,False,331040,spotify:track:06I6iDFVtZDGcRu9BgHraA,spotify:album:3T3bJi3cvwR5U7ihwgEwF1,USBB40801918
"Waltz No. 18 in E flat, Op. posth.",7,False,138720,spotify:track:06NH4UeSKzEL6zRl1u07wC,spotify:album:0yCrQ6dCqiI6ldqI8LPqWB,GBF078240207
Tout oublier,63,False,202120,spotify:track:06O3hxudc6V0BOuoCFSy71,spotify:album:6KSvWFf4g4PrIldtchJsTC,BE8HB1800008
Just the Way You Are,51,False,290573,spotify:track:06RdYCp0UxsBtWsonHfSZz,spotify:album:3IILMjMMnoN2sKzgesX8KV,USSM17700371
"Piano Sonata No. 18 in E flat, Op. 31 No. 3 -""The Hunt"": 1. Allegro",3,False,521640,spotify:track:06WBwk3ploTpWPjgM2jdF0,spotify:album:7xbsSOswKgms1fUFuwKArz,GBF077710191
Clean,53,False,271000,spotify:track:06WgOCf0LV2h4keYXDRnuh,spotify:album:2QJmrSgbdM35R67eoGQo4j,USCJY1431419
怪物,71,False,206000,spotify:track:06XQvnJb53SUYmlWIhUXUi,spotify:album:41HUxKwnbrg8IdelmMibj9,JPP302000760
"Tchaikovsky: The Nutcracker, Op. 71, Act I, Scene 1: No. 2, March",64,False,145613,spotify:track:06am46cX3Z6YlSsg0TyVHA,spotify:album:54Awn36ryf55PkZyOR4iwQ,GBAYC1000857
To the moon,43,False,162106,spotify:track:06v5p9PbGF6R0fbxGwMdlX,spotify:album:70XJeDlFe1LmZo1lyFKyq3,KRA302000627
Slow Cheetah,59,False,319933,spotify:track:06wTEKL2rSrSaOjFtgG8fj,spotify:album:7xl50xr9NDkd3i2kBbzsNZ,USWB10601596
SUPER BOARD,63,False,185960,spotify:track:078fJxqEUz0LvbHSM6AoXJ,spotify:album:0T6hYH0UyDjNraWZk2mZWi,US5TA2200104
"Piano Sonata No. 31 in A flat, Op. 110: 3. Adagio ma non troppo",3,False,246466,spotify:track:07D7JKZN8FtTneq1ffuNis,spotify:album:7xbsSOswKgms1fUFuwKArz,GBF077210033
"13 Preludes, Op. 32: No. 9 in A Major: Allegro moderato",0,False,172053,spotify:track:07EzJ4VrpLaQtTzKyOAH3w,spotify:album:1vlnwUAidj7bEmRhsq4zTv,HKI190713720
This Is Why We Can't Have Nice Things,78,False,207133,spotify:track:07NxDD1iKCHbAldceD7QLP,spotify:album:6DEjYFkNZh67HP7R9PSZvv,USCJY1750014
Del Sasser,8,False,363600,spotify:track:07dVfTwBjqFK0AdNqnvTPV,spotify:album:404TYwH2T33GbA9LdIT9fR,USGR18700046
"Vespers, Op. 37: XIII. ""Dnes spaseniye""",5,False,133000,spotify:track:07rzxAXZHLhV0kGR0zNDIn,spotify:album:7hqotgNjEJt09XiggaMI1v,NLA509306413
Love is a magic,21,False,195673,spotify:track:08ANRBOA33Hfn4shVjNBwi,spotify:album:2zsnrnJPMZY56QgIdc647c,KRB472202268
S&M,54,True,243533,spotify:track:08Bfk5Y2S5fCxgxk371Eel,spotify:album:6UHhmTLl9T1scRYLmpHcDX,USUM71026591
Icarus,12,False,214407,spotify:track:08Bp5AoOyjDsTNBlSkWTgI,spotify:album:3yQJY0tg0M2rQwWYUgkVQp,GBKPL1513899
"Requiem In D Minor, K.626: 3. Sequentia: Recordare",1,False,310506,spotify:track:08FShoZ7Nc5LsBv3W9oQK0,spotify:album:1HSJhsMIW2EDD4YSSkbc9e,DEF058630109
"Nocturne No. 9 in B Major, Op. 32 No. 1",10,False,303826,spotify:track:08GWfq6GjYQ63lPKTrTMOb,spotify:album:0lrM7kR5o7iqkajLKIlzRg,GBF078240307
Take It All,58,False,228293,spotify:track:08YJEcxGtYXwCGqXMZDiyQ,spotify:album:0Lg1uZvI312TPqxNWShFXL,GBBKS1000347
Coppélia / Tableau 3: No. 20 Fête de la cloche: IV. Le travail (La fileuse),0,False,122360,spotify:track:08d37IkFf4ftF06OeCbBmU,spotify:album:7jKT8NC2XfAs9RFKsrGz2p,AUAB01850310
epiphany,70,False,289749,spotify:track:08fa9LFcFBTcilB3iq2e2A,spotify:album:2fenSS68JI1h4Fo296JfGr,USUG12002847
Chariot,54,False,239173,spotify:track:08kTO4EW0jb07zNsCNM83w,spotify:album:0Fm4Qx8IVHEEBYPeRzNUGI,USJAY0300036
Back In Black,85,False,255493,spotify:track:08mG3Y1vljYA6bvDt4Wqkj,spotify:album:6mUdeDZCsExyJLMdAfDuwh,AUAP08000046
Alter Ego,49,False,247493,spotify:track:08pPhcvPmphUEx3pEBZwGZ,spotify:album:2Gxd1fr4RFHVNx6IxGr9I7,KRA302300007
Down Once More / Track Down This Murderer,36,False,710466,spotify:track:08w39owyASWYcB9lO30DRC,spotify:album:36bEg6FTBaZGLg9ngJZIU6,GBALG8700022
"Nocturne No. 1 in B-Flat Minor, Op. 9 No. 1",19,False,345800,spotify:track:08wPzTIkAGQ8GdCmVQxvIE,spotify:album:0lrM7kR5o7iqkajLKIlzRg,GBF078140409
Icarus,0,False,230933,spotify:track:08xsxiuRjKDOmNJWdWdhRO,spotify:album:7G36cnLPx9CuqnmZXYna4a,GBKPL1776592
Clockwork,39,False,227360,spotify:track:09SIbdUVr34sBd7Uwwt63J,spotify:album:6YfGgOaUnhs0A9brMqjpHf,KRA302000473
"Piano Sonata No. 11 in B flat, Op. 22: 4. Rondo (Allegretto)",2,False,350866,spotify:track:09TzZIZStFNY1Kza5CEgRr,spotify:album:7xbsSOswKgms1fUFuwKArz,GBF077810554
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),77,True,204763,spotify:track:09gysnJpfQ3ublBmJDfcEC,spotify:album:4q4rHdKxyCzxuQrPcdjPyC,US23A1540104
Pictures at an Exhibition (Orch. Ravel): Promenade III,4,False,29760,spotify:track:09lmHgk6RgtzK2uszcrSVM,spotify:album:1b2aoeaYZZBWmJoavOQhnd,DEN961630505
"String Quartet No. 1 in C Major, Op. 49: II. Moderato",2,False,269200,spotify:track:0A5oxICmtISYvCLCKY5BZs,spotify:album:4V2YVRjysd08RF0GLRDDK7,FRZ140419020
Masquerade,40,False,197011,spotify:track:0AABiBAIYQCMpLI0ODbDDL,spotify:album:1p2OBhqq0d1N8awjHV9xA3,KRMIM2033693
Insomnia,47,False,207125,spotify:track:0AAEFC3RGirgzRFhi44Y79,spotify:album:1cBAfX0otvkoIOI6HtOrAc,KRMIM2111832
Beauty and the Beast,35,False,214720,spotify:track:0ABGlKA3v3RYjrcKVYuCfT,spotify:album:3Pzoe4ffuNsxdgTHGaFJmo,USWD10321267
Natural,54,False,144960,spotify:track:0ACt3PP22HyKfpFIV6AQUW,spotify:album:2yOqQbBoXX0nNPBqts1dmZ,KRA252102223
"Symphony No. 7 In A, Op. 92: 2. Allegretto",9,False,465333,spotify:track:0ADhD2DsEi5OTt21ljNUBz,spotify:album:2DQTNTznsteIZciZdyeWdj,DEF058301501
Shut Down,73,False,175889,spotify:track:0ARKW62l9uWIDYMZTUmJHF,spotify:album:7jaSNQUBJbvfbZHLNFrV7P,KRA402200020
Karma,52,False,195466,spotify:track:0AZ5C3305mRKWX1x0hDF39,spotify:album:6svUGnoz4ra10k5993SGvc,QZNCB2148686
DALALA,55,False,189813,spotify:track:0Aa9I95cft2JJB1g7dmhNZ,spotify:album:0q2pMuNvBFB1NEwUhz4uDX,KRA252301729
Travelin' Soldier,67,False,343496,spotify:track:0AkZjWYCMJ8wWiNex7LmkY,spotify:album:1zgQkZFMRqx1Lz9GVXghLt,USSM10209595
"String Quartet No. 5 in A Major, Op. 18 No. 5: II. Menuetto - Trio",7,False,274826,spotify:track:0AtBrNtW0crqbSyUtwNykS,spotify:album:37iUq5Dekt8uP5itTiVs2Q,FRZ141431060
U,56,False,224466,spotify:track:0AtHUIDAkXWgpbD0QkyKgi,spotify:album:2fy01jwC0GrnBGQ4Crcnve,QZF452009608
"Die Zauberflöte, K.620 / Act 2: Der Hölle Rache kocht in meinem Herzen (Königin der Nacht)",1,False,179000,spotify:track:0B6iCn4MMDxJcITauM59XQ,spotify:album:1HSJhsMIW2EDD4YSSkbc9e,DEF058031132
Clocks,84,False,307879,spotify:track:0BCPKOYdS2jbQ8iyB56Zns,spotify:album:0RHX9XECH8IVI3LNgWDpmQ,GBAYE0200771
Meleğim,67,False,220280,spotify:track:0BD9boQC7jUTWkAoib4Z0d,spotify:album:6tGI9MGbLjbxyzcxYkMXPJ,FR9KQ2000560
SCIENTIST,67,False,194600,spotify:track:0BJMgVrnWIvgYsjq8KaPeh,spotify:album:5052Ip89wdW8EGdpjEpNeq,US5TA2100098
Alcohol-Free,71,False,210573,spotify:track:0BTaaKT4RMbs5M73tOHX5Y,spotify:album:00vb6sViDbJLmLLchfbRh4,US5TA2100022
"Who Am I? - From ""Les Miserables''",40,False,157453,spotify:track:0BeS5hJXm3yzubCswEC8TQ,spotify:album:0I6Bl1dVB1hQsSoQF6KuTg,GBUM71301301
Winter Falls,64,False,235386,spotify:track:0BeqHPNJSLzfH8TZ7Adpb3,spotify:album:1qVuQI0WRn2Mczbdxx54Ih,US5TA2100117
Very Very Very,60,False,203640,spotify:track:0BhMw9r3eOLMLXRFBLCt6O,spotify:album:2YyowuE62RMWFtBSa2EO7r,KRA381602024
Don't Stop The Music,82,False,267080,spotify:track:0ByMNEPAPpOR5H69DVrTNy,spotify:album:3JSWZWeTHF4HDGt5Eozdy7,USUM70734700
"Tchaikovsky: The Nutcracker, Op. 71, Act II: No. 13, Waltz of the Flowers",65,False,415813,spotify:track:0CJuLeZpCdqrqoCMXWZw8k,spotify:album:54Awn36ryf55PkZyOR4iwQ,GBAYC1000875
Bring Me To Life,86,False,235893,spotify:track:0COqiPhxzoWICwFCS4eZcp,spotify:album:02w1xMzzdF2OJxTeh1basm,USWU30200093
Beatbox,68,False,205133,spotify:track:0CatzXH85XWyBqqdB6qPMB,spotify:album:4sM1qNxjzxOvoH6jeFHx3W,KRA302200091
Galop Marquis,12,False,41466,spotify:track:0CeyjRUCfoltQmSTVL1h3M,spotify:album:19ofW4fqCAR2uQJKVWw6L6,GBF078441315
"Piano Sonata No. 1 in F Minor, Op. 2 No. 1: II. Adagio",6,False,285093,spotify:track:0Ch2tX7Twc0dIahY3DSLD5,spotify:album:5CjMjZJnjdHHgwAVkqrvXq,NLE420800802
"Vivaldi: The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": II. Adagio molto",14,False,163253,spotify:track:0CmKuDto0oNAYzBOzjDjqV,spotify:album:4YpaKMCcb65yOoee75UUOh,GBAYC0702404
Panorama,69,False,222853,spotify:track:0CnpSTdL9l5vQM4YnzXtyo,spotify:album:3gfl9D7cMW3K87YiMbqsWK,KRA492001345
Love Me Like You Do,75,False,253520,spotify:track:0Cy7wt6IlRfBPHXXjmZbcP,spotify:album:4w0N1CaZwQ5RPIuawqlYyy,GBUM71706324
Why Can't You Love Me?,49,False,168960,spotify:track:0CyydmXI4QhgUWrZsPOTXA,spotify:album:1Ao5vWPO13f4l0ldwxOKL7,KRA302100114
Go the Distance,65,False,194160,spotify:track:0D1OY0M5A0qD5HGBvFmFid,spotify:album:1wbY6VUchNsZLaDi22eD3J,USWD10220438
Savior (feat. B.I),57,False,215560,spotify:track:0DYvTdqBqW6erA1a7pFzVo,spotify:album:1DKgZeAYrjslAPZVMe6EFt,KRC712100040
Baram X 3,39,False,208373,spotify:track:0DdbiN1gW1t4MU7tQ91eTW,spotify:album:0xYQcPVyEEegJlTXLttWUx,KRA301800254
"Piano Sonata No. 32 in C Minor, Op. 111: I. Maestoso - Allegro con brio ed appassionato",0,False,584920,spotify:track:0DfiTn1LUUcaLHYMDofEv7,spotify:album:478l1JdqbqDzcmmgrqw2zu,NLE421101408
One More Time,78,False,320357,spotify:track:0DiWol3AO6WpXZgp0goxAV,spotify:album:2noRn2Aes5aoNVsU6iWThc,GBDUW0000053
You Oughta Know,58,True,249200,spotify:track:0Dw9z44gXhplDh5HCWZIxP,spotify:album:09AwlP99cHfKVNKv4FC8VW,USMV29900091
"Tarantelle In A Flat, Op. 43",7,False,182800,spotify:track:0Dy23NaykLsmz6VM0lUJ9e,spotify:album:19ofW4fqCAR2uQJKVWw6L6,GBF077940409
You've Got The Love,25,False,168666,spotify:track:0DyToChmZxd4js5BY9Jf2G,spotify:album:2KAK58PimXHF4lSoKO3RxA,GBUM70900237
