name,uri,popularity,followers,image_url
SUNGCHAN,spotify:artist:3kRn66oJ8iz6gJN32AyEPz,32.0,14285.0,https://i.scdn.co/image/ab6761610000e5ebc87e5c06357095193b34fb44
Chorus - Beauty And the Beast,spotify:artist:3kWWBtNzJFtKA222gZz39d,48.0,6385.0,
Loopy,spotify:artist:3l9s67pOK4Stw9yW1wr0Bg,44.0,93009.0,https://i.scdn.co/image/ab6761610000e5eb78e7353142ec1ecf18232521
Sammy Rae & The Friends,spotify:artist:3lFDsTyYNPQc8WzJExnQWn,50.0,171629.0,https://i.scdn.co/image/ab6761610000e5eb83c74866e5bc047479cd3413
Anna Zak,spotify:artist:3lVXtKsFTJM8ecY8gqdoCo,42.0,214287.0,https://i.scdn.co/image/ab6761610000e5eba03862437b06f5865ab89fd7
Dorothy Kirsten,spotify:artist:3mMDsLh0ODpEuwpvn9sitk,44.0,283.0,https://i.scdn.co/image/ab67616d0000b2730bd2ada8cc664dde48c07145
WINTER,spotify:artist:3mPquBmMu97Iq9TpzQ6ayI,57.0,142646.0,https://i.scdn.co/image/ab6761610000e5ebb5fc114ab8f521a8f6070cab
JAY-Z,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,82.0,8798358.0,https://i.scdn.co/image/ab6761610000e5ebc75afcd5a9027f60eaebb5e4
Eagle-Eye Cherry,spotify:artist:3ngKsDXZAssmljeXCvEgOe,57.0,173817.0,https://i.scdn.co/image/ab6761610000e5eb9e0ca4a2881766ad646d449d
Evynne Hollens,spotify:artist:3nj3MfJCFFoKiRkAOW1R8c,37.0,25346.0,https://i.scdn.co/image/ab6761610000e5ebf9c4a13ec9833826f03a183a
The Beach Boys,spotify:artist:3oDbviiivRWhXwIE8hxkVV,74.0,4359403.0,https://i.scdn.co/image/ab6761610000e5eb039b593cfa703e929c02ce3e
Emily Shanny,spotify:artist:3oWiUIUDPWJmvB8wElpaO5,1.0,0.0,
Brian D'Arcy James,spotify:artist:3oYQrBzEQNpxnjWXP54B4n,46.0,11499.0,https://i.scdn.co/image/ab67616d0000b27312db32f7e08a1bfb4ace303b
American Song Contest,spotify:artist:3pPClIZCqgahG8bguvacGh,39.0,18559.0,https://i.scdn.co/image/ab67616d0000b273a39389bb6dd8fd79c0fff3a2
NCT U,spotify:artist:3paGCCtX1Xr4Gx53mSeZuQ,65.0,4237006.0,https://i.scdn.co/image/ab6761610000e5eb38c136f067600bd431dd9b93
keshi,spotify:artist:3pc0bOVB5whxmD50W79wwO,73.0,3296364.0,https://i.scdn.co/image/ab6761610000e5ebd969cf117d0b0d4424bebdc5
Shahadi Wright Joseph,spotify:artist:3qBrg0c1loxePyWQxp6F75,40.0,1703.0,https://i.scdn.co/image/ab6761610000e5eb2707a2fe54769871232016e2
TAEYEON,spotify:artist:3qNVuliS40BLgXGxhdBdqu,67.0,2835330.0,https://i.scdn.co/image/ab6761610000e5eb097877542866c981757e9592
Guns N' Roses,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC,78.0,30301696.0,https://i.scdn.co/image/ab6761610000e5eb50defaf9fc059a1efc541f4c
WONWOO,spotify:artist:3rHcBT06Vb1XGVUWhDALZt,48.0,289959.0,https://i.scdn.co/image/ab6761610000e5eb95da7df958691cf92d619bea
Snow Patrol,spotify:artist:3rIZMv9rysU7JkLzEaC5Jp,66.0,2918205.0,https://i.scdn.co/image/ab6761610000e5ebe93b88b6103a78ede975ebbe
Helga Muller-Molinari,spotify:artist:3s5xNX5n6PAzpusMRhmHbA,26.0,91.0,https://i.scdn.co/image/ab67616d0000b273774a4d3dd9d4fca18fa2180b
QUIN,spotify:artist:3sHS70DMNgPxRqx2fUNrRA,43.0,43469.0,https://i.scdn.co/image/ab6761610000e5eb1c7f0695e260619b85d687db
Kawaguchi Yurina,spotify:artist:3snqW31jInsZwoYRZTaixr,22.0,24671.0,https://i.scdn.co/image/ab6761610000e5ebba51bae36c3e40b129f925fe
Henry Purcell,spotify:artist:3tMLo1k3iUo82coMLWXzxq,55.0,164640.0,https://i.scdn.co/image/b1e56021e0af6da7c4dad6e677318c716f66a4c3
Daveed Diggs,spotify:artist:3twuAojvYNrlWZpMkxLm3P,71.0,94797.0,https://i.scdn.co/image/ab6761610000e5ebf638289c7621609519d8ad24
Decadence,spotify:artist:3uBUg8TtKXz6m3wY5aXa9I,5.0,174.0,https://i.scdn.co/image/ab67616d0000b27363d448b5773d975d66974ce0
AILEE,spotify:artist:3uGFTJ7JMllvhgGpumieHF,57.0,1135606.0,https://i.scdn.co/image/ab6761610000e5eb1722d31b67b9f5a48e94e465
Snow,spotify:artist:3uZFBSsMiooimnprFL9jD1,60.0,61518.0,https://i.scdn.co/image/9d0dec8e40b3e19bb48690caf3d8f9deec7b9ef4
cherryfilter,spotify:artist:3uk3Jz2yT37niCo3c5GMf2,27.0,18245.0,https://i.scdn.co/image/ab6761610000e5eb78125a2515bc78080b2833e8
The All-American Rejects,spotify:artist:3vAaWhdBR38Q02ohXqaNHT,65.0,2579031.0,https://i.scdn.co/image/ab6761610000e5ebb57332e3fc2b97bb33577e65
Sam Franko,spotify:artist:3vkG71N5uQBzhzwEDr6icH,20.0,14.0,
Mahalini,spotify:artist:3wOsYKZM0zcKNasi3I7fP4,69.0,10492096.0,https://i.scdn.co/image/ab6761610000e5ebb8333468abeb2e461d1ab5ea
f(x),spotify:artist:3wRA5UYoo08BBKJnzyKkpF,51.0,1299540.0,https://i.scdn.co/image/ab6761610000e5ebe0cc2045ff4e90d12df91cc3
Jerry Tondo,spotify:artist:3wUpOiaLjwAZNregbC7CxO,42.0,216.0,
Burna Boy,spotify:artist:3wcj11K77LjEY1PkEazffa,78.0,7737557.0,https://i.scdn.co/image/ab6761610000e5eb2d405f4858ce3cd52d409c98
"The Choir Of Trinity College, Cambridge",spotify:artist:3x8rZy1i6FwWOWKwfRT1Ab,45.0,8239.0,https://i.scdn.co/image/ab6761610000e5ebb31012b4fbdb04b01943efb2
Disney,spotify:artist:3xvaSlT4xsyk6lY1ESOspO,80.0,435055.0,https://i.scdn.co/image/ab6761610000e5ebc698d53b77db34027b00f853
Nile Rodgers,spotify:artist:3yDIp0kaq9EFKe07X1X2rz,69.0,121401.0,https://i.scdn.co/image/6511b1fe261da3b6c6b69ae2aa771cfd307a18ae
Huxlee,spotify:artist:3yb7HrGPG0WpWgdO4XFwBf,9.0,2641.0,https://i.scdn.co/image/ab67616d0000b273b465068da06b874e24d35bc1
MINO,spotify:artist:3ytV7vc4ZuwGgwaOuWvkk8,51.0,1110670.0,https://i.scdn.co/image/ab6761610000e5ebbaab1c0bd5243ff2557dd0f2
Regina Spektor,spotify:artist:3z6Gk257P9jNcZbBXJNX5i,60.0,1366189.0,https://i.scdn.co/image/ab6761610000e5eba36a9f95d59ab791d5e897e9
NiziU,spotify:artist:3z8diLlUCkN1j9N9ZdnfBJ,59.0,1071003.0,https://i.scdn.co/image/ab6761610000e5ebf7e50742261c9fea499a0f20
Christopher,spotify:artist:3zDRCqOhJXJfS2YWOEwGMC,61.0,393494.0,https://i.scdn.co/image/ab6761610000e5ebfaf557d3e442fd4634e54f09
LaChanze,spotify:artist:3zT7dcLl9wbSXsVh3VQx3A,54.0,1412.0,
The Smashing Pumpkins,spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i,71.0,4848836.0,https://i.scdn.co/image/ab6761610000e5ebbd85f631779e65b01349d747
Pink Siifu,spotify:artist:40ZElxHldNyvn7x8WRC6fh,47.0,59112.0,https://i.scdn.co/image/ab6761610000e5eb9c017e1e34973fabb15fc0a4
David Tao,spotify:artist:40tNK2YedBV2jRFAHxpifB,57.0,535356.0,https://i.scdn.co/image/ab67616d0000b2737c20fb440980c4f2f24346c5
Felix (Stray Kids),spotify:artist:40zyx4iztMjRbIIoI802r4,46.0,73989.0,
BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,82.0,47620018.0,https://i.scdn.co/image/ab6761610000e5ebc9690bc711d04b3d4fd4b87c
Harry Chapin,spotify:artist:42q4Ivs7tAiCZ5C7eG5q4c,50.0,353927.0,https://i.scdn.co/image/ab67616d0000b273743ebb11200358b5c050f542
Cast - The Little Mermaid,spotify:artist:433fI3xZoJp1D1dizEkJ3R,46.0,5430.0,https://i.scdn.co/image/ab67616d0000b27350ff984b366cb285a53254f3
Bruce Reitherman,spotify:artist:43HPW60tz4BMYMRnmXMagJ,46.0,3873.0,https://i.scdn.co/image/ab67616d0000b27386b673ff5c044df4c63248d2
Faca Kulu,spotify:artist:43YEHQb9ZzZBBgTMKtgJmG,29.0,358.0,https://i.scdn.co/image/ab67616d0000b27344c97b0d5d7236ee001f2fd1
Elvis Presley,spotify:artist:43ZHCT0cAZBISjO8DG9PnE,81.0,9023039.0,https://i.scdn.co/image/ab6761610000e5eb9a93e273380982dff84c0d7c
Krystian Zimerman,spotify:artist:43wuPaPcZVMJQWLRaPR4Yz,46.0,49141.0,https://i.scdn.co/image/ab6761610000e5eb501fa094147c4871549cdebd
Van Morrison,spotify:artist:44NX2ffIYHr6D4n7RaZF7A,70.0,3047164.0,https://i.scdn.co/image/ab6761610000e5eb5885f6c2d3ecf8e08bdfa472
Ying Yang Twins,spotify:artist:44PA0rCQXikgOWbfY7Fq7m,61.0,1074712.0,https://i.scdn.co/image/8a522c7faa13cf4321ca6bea075fd97f75f40cfe
Heinz Kruse,spotify:artist:44kp24Y9MhmQ4RT64CUaV2,14.0,42.0,https://i.scdn.co/image/ab67616d0000b2733d3c38e91de0d01072094572
Voices in Your Head,spotify:artist:44v8JgDySt9tkgfV3AWxBJ,24.0,8750.0,https://i.scdn.co/image/ab6761610000e5eb935384f680f653b00bc04c26
Eldar Nebolsin,spotify:artist:45ts2AJTWlzJ9JrQlCGxpX,36.0,873.0,https://i.scdn.co/image/1b640748181bdba8cc37a0a6ee5148c27b374d4e
St.Petersburg Chamber Choir,spotify:artist:46WjEugfIF0rKOewvFiby2,34.0,3594.0,https://i.scdn.co/image/f946eebb053703449d3e862c18ae531ad0bee47d
Original Broadway Cast of Avenue Q,spotify:artist:46jo4R1RMxD3Dp3BVy2goz,0.0,4420.0,https://i.scdn.co/image/ab67616d0000b273353e8e2e9f685ebc5b785d1e
Lou Bega,spotify:artist:46lnlnlU0dXTDpoAUmH6Qx,59.0,111598.0,https://i.scdn.co/image/ab6761610000e5ebe9200a6d8565766425c9a1e1
Tsidii Le Loka,spotify:artist:478Cvh1XjJiURpkqbM23SV,37.0,2364.0,https://i.scdn.co/image/ab67616d0000b273dff378921e4be2272bf08bef
Santino Fontana,spotify:artist:47NluEnhJda2gsnjuvcoob,56.0,7093.0,https://i.scdn.co/image/ab6761610000e5ebbf591218adebbf576d52e665
Olga Borodina,spotify:artist:47XbXbNzwqcWStfsjzFlKb,20.0,1505.0,https://i.scdn.co/image/094b89c0a53eaa52cb0f19d2bcd23a9fc84c1b82
League of Legends,spotify:artist:47mIJdHORyRerp4os813jD,78.0,1775798.0,https://i.scdn.co/image/ab6761610000e5ebe80d1ffb81aa6503ad41c574
Taylor Davis,spotify:artist:480xKab3lUPhBBnCzlzqIu,48.0,189052.0,https://i.scdn.co/image/ab6761610000e5ebcefd7abc8e4cfd9680005cab
Leighton Meester,spotify:artist:481VlDdXZAIRxnHyywNbXn,48.0,113801.0,https://i.scdn.co/image/145b7b08e7f1de22d033e957c0888a5f9e0c99e6
NCT,spotify:artist:48eO052eSDcn8aTxiv6QaG,56.0,6246930.0,https://i.scdn.co/image/ab6761610000e5ebb08ff289b18eb08abc6864c9
Caro Emerald,spotify:artist:492hDmhPyuIjP3MgTcIqgm,52.0,354090.0,https://i.scdn.co/image/ab6761610000e5eb379e885a01898367bfcd0c44
SMTOWN,spotify:artist:49VtaZvoqBgZHQxSqlCUyp,30.0,169437.0,https://i.scdn.co/image/ab67616d0000b27326b7dce0a74da7f7f6c7f193
Dean Martin,spotify:artist:49e4v89VmlDcFCMyDv9wQ9,81.0,1595747.0,https://i.scdn.co/image/ab6761610000e5ebdc6d54b08006b8896cb199e5
YENA,spotify:artist:49muoiIu4uea4PO8vueUNN,53.0,513221.0,https://i.scdn.co/image/ab6761610000e5eb0b55245feb8eff0aa5de40d5
BOYS PLANET,spotify:artist:49pGKUCSjzaCfv8gdTWG98,47.0,150462.0,https://i.scdn.co/image/ab67616d0000b273575199b6685e149b5c75ba03
LANY,spotify:artist:49tQo2QULno7gxHutgccqF,72.0,5687300.0,https://i.scdn.co/image/ab6761610000e5eb0735064b5abe082450c3f95d
