artist_uri,genre
spotify:artist:0EmeFodog0BfCgMzAIvKQp,colombian pop
spotify:artist:0EmeFodog0BfCgMzAIvKQp,dance pop
spotify:artist:0EmeFodog0BfCgMzAIvKQp,latin pop
spotify:artist:0EmeFodog0BfCgMzAIvKQp,pop
spotify:artist:0ExYzTb7raTAfsXPtiI5vq,hollywood
spotify:artist:0FMucZsEnCxs5pqBjHjIc8,bebop
spotify:artist:0FMucZsEnCxs5pqBjHjIc8,bossa nova
spotify:artist:0FMucZsEnCxs5pqBjHjIc8,cool jazz
spotify:artist:0FMucZsEnCxs5pqBjHjIc8,jazz
spotify:artist:0FMucZsEnCxs5pqBjHjIc8,jazz saxophone
spotify:artist:0FMucZsEnCxs5pqBjHjIc8,latin jazz
spotify:artist:0FMucZsEnCxs5pqBjHjIc8,samba-jazz
spotify:artist:0FMucZsEnCxs5pqBjHjIc8,vocal jazz
spotify:artist:0FPWyyf6MD4QZTj3aypD3O,neo r&b
spotify:artist:0FRUZvZNPzM3YJMABJxf2K,k-pop
spotify:artist:0FRUZvZNPzM3YJMABJxf2K,korean pop
spotify:artist:0FVsUxcFSlxwIM7Qs31s6J,movie tunes
spotify:artist:0FrpdcVlJQqibaz5HfBUrL,disco
spotify:artist:0FrpdcVlJQqibaz5HfBUrL,funk
spotify:artist:0FrpdcVlJQqibaz5HfBUrL,motown
spotify:artist:0FrpdcVlJQqibaz5HfBUrL,p funk
spotify:artist:0FrpdcVlJQqibaz5HfBUrL,quiet storm
spotify:artist:0FrpdcVlJQqibaz5HfBUrL,soul
spotify:artist:0FrpdcVlJQqibaz5HfBUrL,synth funk
spotify:artist:0G7KI9I5BApiXc5Sqpyil9,indie soul
spotify:artist:0GM7qgcRCORpGnfcN2tCiB,pop reggaeton
spotify:artist:0GM7qgcRCORpGnfcN2tCiB,reggaeton
spotify:artist:0GM7qgcRCORpGnfcN2tCiB,trap latino
spotify:artist:0GM7qgcRCORpGnfcN2tCiB,urbano latino
spotify:artist:0GgY7hjMoGDsX8ZDe2mwds,french hip hop
spotify:artist:0GgY7hjMoGDsX8ZDe2mwds,pop urbaine
spotify:artist:0GgY7hjMoGDsX8ZDe2mwds,r&b francais
spotify:artist:0GgY7hjMoGDsX8ZDe2mwds,rap algerien
spotify:artist:0GxSAKOw8AV0JsEQ0HYY4b,broadway
spotify:artist:0GxSAKOw8AV0JsEQ0HYY4b,show tunes
spotify:artist:0IAZ8PiZ0KqdMd191HDJ8t,college a cappella
spotify:artist:0IwZVmMMGE7nNXS7vN9SIo,k-pop girl group
spotify:artist:0IznZPMUyaPGdqfP4oqBja,k-rap
spotify:artist:0J5AcRTl5C6aBnxCxZKpf3,movie tunes
spotify:artist:0JGGxsAD1Eg4X9AcKNcxEB,bluegrass
spotify:artist:0JGGxsAD1Eg4X9AcKNcxEB,instrumental bluegrass
spotify:artist:0JGGxsAD1Eg4X9AcKNcxEB,mandolin
spotify:artist:0JGGxsAD1Eg4X9AcKNcxEB,progressive bluegrass
spotify:artist:0K4MGKGmjtdIE0W3GkGmyU,korean city pop
spotify:artist:0K4MGKGmjtdIE0W3GkGmyU,korean electropop
spotify:artist:0K4MGKGmjtdIE0W3GkGmyU,korean r&b
spotify:artist:0Kekt6CKSo0m5mivKcoH51,classical
spotify:artist:0Kekt6CKSo0m5mivKcoH51,post-romantic era
spotify:artist:0Kekt6CKSo0m5mivKcoH51,russian romanticism
spotify:artist:0Kekt6CKSo0m5mivKcoH51,ukrainian classical
spotify:artist:0Ku5VBNL7cfGXRhp2BxXEQ,classical performance
spotify:artist:0Ku5VBNL7cfGXRhp2BxXEQ,orchestral performance
spotify:artist:0L8ExT028jH3ddEcZwqJJ5,alternative rock
spotify:artist:0L8ExT028jH3ddEcZwqJJ5,funk metal
