name,album_type,label,popularity,total_tracks,release_date,uri,image_url
"HWARANG, Pt. 2 (Music from the Original TV Series)",single,OH!BOY PROJECT,55,2,2016-12-20,spotify:album:0sL76PXbgRh97MTzadqEMa,https://i.scdn.co/image/ab67616d0000b2738dd6de651baf8860665f8003
刻在我心底的名字 (Your Name Engraved Herein),single,Team Ear Music,51,1,2020-08-25,spotify:album:5RG4bEVKGMdLaEIv1dofR2,https://i.scdn.co/image/ab67616d0000b273a09d99cdbfdb0fafee0c2318
Bookends,album,Columbia,63,12,1968-04-03,spotify:album:3bzgbgiytguTDnwzflAZr2,https://i.scdn.co/image/ab67616d0000b273d8fb5b4308dc27f210064ef4
Make you happy,single,Sony Music Labels Inc.,46,4,2020-06-30,spotify:album:1wIIu2i7A56TlMD99CVNQD,https://i.scdn.co/image/ab67616d0000b273fe52879ebfec0050a2aa89ff
DESSERT,single,SM Entertainment,45,1,2020-07-22,spotify:album:5brSFD1knAOSM7j6083naD,https://i.scdn.co/image/ab67616d0000b2735b3685b06e22d32bed46c962
Ten Summoner's Tales,album,A&M,64,12,1993-03-09,spotify:album:5kV0KBXfELibs6qQJLmOtg,https://i.scdn.co/image/ab67616d0000b273653b110d9560eb1656f4c583
A Star Is Born Soundtrack,album,A Star is Born OST,74,34,2018-10-05,spotify:album:4sLtOBOzn4s3GDUv3c5oJD,https://i.scdn.co/image/ab67616d0000b273e2d156fdc691f57900134342
WE,album,BANANA CULTURE,37,7,2019-05-15,spotify:album:6Epnn9sgvvUrHdEf7JKjQb,https://i.scdn.co/image/ab67616d0000b27393669daf6d891ee1bdd28df8
Weather To Fly,album,world village,0,13,2013-09-16,spotify:album:2AW4oP7GeAcKOWRY5x7O0o,https://i.scdn.co/image/ab67616d0000b273e82d230ecc34ad6fd5f873c1
Romance,compilation,UME - Global Clearing House,43,6,2021-02-12,spotify:album:5MuNxtOyex8o77Qdjaqeng,https://i.scdn.co/image/ab67616d0000b2733f03db3f454ff7b2c3b4fe62
Rain - SM STATION,single,SM Entertainment,40,2,2016-02-03,spotify:album:5MgY1E2inbDcthAQEzwz8L,https://i.scdn.co/image/ab67616d0000b27316e21608ece123c20bd24306
The Wonder Years - Trilogy,album,JYP Entertainment,38,9,2008-09-22,spotify:album:61KwS8kiAywHkZ7gp4asTE,https://i.scdn.co/image/ab67616d0000b2734802244fa0cf6d33eda5e748
BOCA 2010: Best Of College A Cappella,compilation,Varsity Vocals,0,20,2011-02-15,spotify:album:3HSd3voAxPxS50UrfInBVJ,https://i.scdn.co/image/ab67616d0000b273ea7720f8e0ae5132dbd20303
Voicenotes,album,Artist Partner,72,13,2018-05-11,spotify:album:0mZIUXje90JtHxPNzWsJNR,https://i.scdn.co/image/ab67616d0000b273897f73256b9128a9d70eaf66
Written In The Stars,single,SM Entertainment,46,1,2018-10-11,spotify:album:08z3DsL7P6RpBR3FgNMSvN,https://i.scdn.co/image/ab67616d0000b27352d0ac4eb2c3fd56c01a01b5
SEVENTEEN 8th Mini Album 'Your Choice',single,PLEDIS Entertainment,63,6,2021-06-18,spotify:album:79VvXTQNeLr8KmvcdxN0Pc,https://i.scdn.co/image/ab67616d0000b273c1a20972c9a083d5cece9ce5
GUESS WHO,single,JYP Entertainment,2,6,2021-04-30,spotify:album:1PKhKkeCqANY5E9RGcUWUX,https://i.scdn.co/image/ab67616d0000b2732c214d5de552996f3dd74f17
Primal Heart,album,Warner Records,36,12,2018-04-20,spotify:album:4pj0BkJ7u39i009oqe8V79,https://i.scdn.co/image/ab67616d0000b273d56201d2b07c5950c540f0c8
Relapse: Refill,album,Aftermath,69,29,2009-05-15,spotify:album:7MZzYkbHL9Tk3O6WeD4Z0Z,https://i.scdn.co/image/ab67616d0000b273506c4cc93e5a6234164125e1
Fauré: Requiem; Pavane,album,Decca Music Group Ltd.,14,14,2008-01-01,spotify:album:0mhVHXJrGE5WUA58CJLf29,https://i.scdn.co/image/ab67616d0000b2735f71322acbf611462ffc03d5
Girl's Day Love Second Album,album,드림티 엔터테인먼트,47,14,2015-07-07,spotify:album:6bf0r561nSUanYZ9ej56Me,https://i.scdn.co/image/ab67616d0000b273c56dcba0b4372e4a2953b973
Everything Is 4,album,Beluga Heights/Warner Records,63,11,2015-05-29,spotify:album:59eUYETmE1zi31ESb3SUkI,https://i.scdn.co/image/ab67616d0000b273519241bcfc352fc3eaaac5db
IM NAYEON,album,Republic Records – NAYEON (TWICE),74,7,2022-06-24,spotify:album:0wqjfojWuTcbEvwaizvTMw,https://i.scdn.co/image/ab67616d0000b2735fb4a9cfbeb3b7beb337ed02
The 2¢ Show,album,Steam Powered Giraffe,43,16,2012-05-23,spotify:album:4DECRyKlhKJgjZLLuvfAI6,https://i.scdn.co/image/ab67616d0000b273a4aa9c49f8fedf1df4f84051
太平盛世,album,Gold Typhoon Taiwan,46,13,2005-08-01,spotify:album:1XnDRFsNxG12nZPRXNcPkU,https://i.scdn.co/image/ab67616d0000b273110af1ee291450d9e86a05a4
"The Very Best Of ""The Archies""",compilation,Ron Dante,51,16,2007-11-07,spotify:album:7spOTrIPTM8RrMIAhCjLJi,https://i.scdn.co/image/ab67616d0000b27355ef4cc7e56a02c68c3abc0f
20th Century Masters: The Millennium Collection: Best Of Gloria Gaynor,compilation,Polydor,53,12,2000-01-01,spotify:album:2BU2SNYoIPtZvGEJckdIhx,https://i.scdn.co/image/ab67616d0000b273a6479db910d22f5aa4546af1
It'z Me,album,JYP Entertainment,1,7,2020-03-09,spotify:album:2gertXS08whDTzBWfmewPO,https://i.scdn.co/image/ab67616d0000b27386e407289831b784b58d4c5f
R,single,YG Entertainment/Interscope Records,61,2,2021-03-12,spotify:album:5BQcoDfcZ8aBcikYX9B7Ob,https://i.scdn.co/image/ab67616d0000b273fdec91537c467efa0cd75e2f
Pink Tape - The 2nd Album,album,SM Entertainment,47,12,2013-07-29,spotify:album:62tuEHFtjk3L6Xjdkzyt4z,https://i.scdn.co/image/ab67616d0000b2736f7d8c9dcc983839bd746dbc
Sticker - The 3rd Album,album,SM Entertainment,54,11,2021-09-17,spotify:album:6nYbIKGcTmKM5BAlJPPcad,https://i.scdn.co/image/ab67616d0000b27373e21d92fa8c70ce6aba72d0
Toy,single,S-Curve Records,50,1,2018-05-23,spotify:album:21YEfZ84TzdjNvOWEdwjeF,https://i.scdn.co/image/ab67616d0000b273fc1e6aac4f02c6864d7a5f90
Century Child,album,Spin-Farm Oy,52,15,2002,spotify:album:4FFDudC4xBVF6MYJUynRsN,https://i.scdn.co/image/ab67616d0000b273fc452e32475d74850c7eec51
Speak Now,album,"Big Machine Records, LLC",68,14,2010-10-25,spotify:album:5MfAxS5zz8MlfROjGQVXhy,https://i.scdn.co/image/ab67616d0000b273e11a75a2f2ff39cec788a015
BORDER : DAY ONE,single,BELIFT LAB,62,6,2020-11-30,spotify:album:3YxF7jTnpdNepWbO42f8lH,https://i.scdn.co/image/ab67616d0000b2734a6096741dcf413354a59554
The 1st Single '행복(Happiness)',single,SM Entertainment,0,1,2014-08-01,spotify:album:6uhzbGOu7nsKxQthjMKz2N,https://i.scdn.co/image/832d8e8fd86642db546f0f730915dde3b8d7ec0a
Closer,single,Disruptor Records/Columbia,70,1,2016-07-29,spotify:album:0rSLgV8p5FzfnqlEk4GzxE,https://i.scdn.co/image/ab67616d0000b273495ce6da9aeb159e94eaa453
Future Nostalgia,album,Warner Records,78,11,2020-03-27,spotify:album:7fJJK56U9fHixgO0HQkhtI,https://i.scdn.co/image/ab67616d0000b273bd26ede1ae69327010d49946
Animal (Expanded Edition),album,RCA Records Label,72,18,2010-01-01,spotify:album:6fpLLJsDSSAlToEDW2jv4F,https://i.scdn.co/image/ab67616d0000b2737a6339d6ddfd579f77559b3c
Britney (Digital Deluxe Version),album,Jive,61,15,2001-10-31,spotify:album:5ax3GTsfX5uCUaNgnJsSG5,https://i.scdn.co/image/ab67616d0000b273e1a4e01cb7a1ecff468bbead
Bridge Over Troubled Water,album,Columbia,67,11,1970-01-26,spotify:album:0JwHz5SSvpYWuuCNbtYZoV,https://i.scdn.co/image/ab67616d0000b273ba7fe7dd76cd4307e57dd75f
Court and Spark,album,Rhino,0,11,1974-01-17,spotify:album:2akjxkzFolkeV72Yyv5KrM,https://i.scdn.co/image/ab67616d0000b273909f0333c8c1a821a7eea703
Fitz and The Tantrums (Deluxe Edition),album,Elektra (NEK),53,14,2017-07-24,spotify:album:4eoIRaV8z8v2LaXQSWy2LC,https://i.scdn.co/image/ab67616d0000b2734d991176cbf36bd168e00a0a
Slightly Tipsy (She is My Type♡ X SANDEUL),single,TOON STUDIO,40,2,2020-07-20,spotify:album:2bal48tjyi26OAxY2KxwFL,https://i.scdn.co/image/ab67616d0000b273470483222eb038c3b60e71f6
Believe,album,Warner Records,64,10,1998,spotify:album:0jZfbz0dNfDjPSg0hYJNth,https://i.scdn.co/image/ab67616d0000b27361c83e0a3e42be611729c840
Riot!,album,Fueled By Ramen,66,12,2007-06-11,spotify:album:71rziY9eLo1tA2dBMxrwhc,https://i.scdn.co/image/ab67616d0000b273bee754528c08d5ff6799a1eb
NCT RESONANCE Pt. 2 - The 2nd Album,album,SM Entertainment,44,21,2020-11-23,spotify:album:5Dq6jkYO5H7KzxXSazhLxs,https://i.scdn.co/image/ab67616d0000b273a8f520a58790e872d0007e2e
Non mi avete fatto niente,single,Mescal,30,1,2018-02-07,spotify:album:3Qs5bBmUVXpZBcEkw4uxJ8,https://i.scdn.co/image/ab67616d0000b2737c89c4758b84b698f1598821
The Hunchback Of Notre Dame (Original Motion Picture Soundtrack),compilation,Walt Disney Records,46,16,1996-05-28,spotify:album:7btQeUDTIIfnh2iCQ8Pfhq,https://i.scdn.co/image/ab67616d0000b273a45790b93f47d427a2aefa9d
#Cookie Jar,single,avex trax,42,6,2018-07-04,spotify:album:4W6K0DP1YlZ48JlvdKCkZh,https://i.scdn.co/image/ab67616d0000b2739acd884a943f3630236a5ca3
