name,popularity,explicit,duration_ms,uri,album_uri
Hard To Handle,69,False,188066,spotify:track:05NYcsjJwOYq4jIiKPVj9p,spotify:album:2NRRQLuW6j3EsoWpIl2MR3
Schuyler Defeated,56,False,63558,spotify:track:05bhmaAD1urZnQMWNd6p3S,spotify:album:1kCHru7uhxBUdzkm4gzRQc
Rhiannon,69,False,252773,spotify:track:05oETzWbd4SI33qK2gbJfR,spotify:album:5VIQ3VaAoRKOEpJ0fewdvo
"Brandenburg Concerto No. 6 in B flat, BWV 1051: 1. --",16,False,419760,spotify:track:05sFtfNGSjuKGld0YiL2ZM,spotify:album:11FzhwtOFCPB4vpgWo33xV
"Nocturne No. 19 In E Minor, Op. 72 No. 1",38,False,215173,spotify:track:068BPNYklLpBX6VhMCKsUX,spotify:album:2aoSpTAjFaMvaZeruqnCVv
"Sincerely, Jane",29,False,331040,spotify:track:06I6iDFVtZDGcRu9BgHraA,spotify:album:3T3bJi3cvwR5U7ihwgEwF1
"Waltz No. 18 in E flat, Op. posth.",5,False,138720,spotify:track:06NH4UeSKzEL6zRl1u07wC,spotify:album:0yCrQ6dCqiI6ldqI8LPqWB
Tout oublier,59,False,202120,spotify:track:06O3hxudc6V0BOuoCFSy71,spotify:album:6KSvWFf4g4PrIldtchJsTC
Just the Way You Are,50,False,290573,spotify:track:06RdYCp0UxsBtWsonHfSZz,spotify:album:3IILMjMMnoN2sKzgesX8KV
"Piano Sonata No. 18 in E flat, Op. 31 No. 3 -""The Hunt"": 1. Allegro",1,False,521640,spotify:track:06WBwk3ploTpWPjgM2jdF0,spotify:album:7xbsSOswKgms1fUFuwKArz
Clean,50,False,271000,spotify:track:06WgOCf0LV2h4keYXDRnuh,spotify:album:2QJmrSgbdM35R67eoGQo4j
怪物,66,False,206000,spotify:track:06XQvnJb53SUYmlWIhUXUi,spotify:album:41HUxKwnbrg8IdelmMibj9
"Tchaikovsky: The Nutcracker, Op. 71, Act I, Scene 1: No. 2, March",50,False,145613,spotify:track:06am46cX3Z6YlSsg0TyVHA,spotify:album:54Awn36ryf55PkZyOR4iwQ
SUPER BOARD,64,False,185960,spotify:track:078fJxqEUz0LvbHSM6AoXJ,spotify:album:0T6hYH0UyDjNraWZk2mZWi
"Piano Sonata No. 31 in A flat, Op. 110: 3. Adagio ma non troppo",2,False,246466,spotify:track:07D7JKZN8FtTneq1ffuNis,spotify:album:7xbsSOswKgms1fUFuwKArz
"13 Preludes, Op. 32: No. 9 in A Major: Allegro moderato",0,False,172053,spotify:track:07EzJ4VrpLaQtTzKyOAH3w,spotify:album:1vlnwUAidj7bEmRhsq4zTv
This Is Why We Can't Have Nice Things,68,False,207133,spotify:track:07NxDD1iKCHbAldceD7QLP,spotify:album:6DEjYFkNZh67HP7R9PSZvv
Del Sasser,5,False,363600,spotify:track:07dVfTwBjqFK0AdNqnvTPV,spotify:album:404TYwH2T33GbA9LdIT9fR
"Vespers, Op. 37: XIII. ""Dnes spaseniye""",3,False,133000,spotify:track:07rzxAXZHLhV0kGR0zNDIn,spotify:album:7hqotgNjEJt09XiggaMI1v
Love is a magic,20,False,195673,spotify:track:08ANRBOA33Hfn4shVjNBwi,spotify:album:2zsnrnJPMZY56QgIdc647c
S&M,54,False,243533,spotify:track:08Bfk5Y2S5fCxgxk371Eel,spotify:album:6UHhmTLl9T1scRYLmpHcDX
Icarus,8,False,214407,spotify:track:08Bp5AoOyjDsTNBlSkWTgI,spotify:album:3yQJY0tg0M2rQwWYUgkVQp
"Requiem In D Minor, K.626: 3. Sequentia: Recordare",1,False,310506,spotify:track:08FShoZ7Nc5LsBv3W9oQK0,spotify:album:1HSJhsMIW2EDD4YSSkbc9e
"Nocturne No. 9 in B Major, Op. 32 No. 1",8,False,303826,spotify:track:08GWfq6GjYQ63lPKTrTMOb,spotify:album:0lrM7kR5o7iqkajLKIlzRg
Take It All,54,False,228293,spotify:track:08YJEcxGtYXwCGqXMZDiyQ,spotify:album:0Lg1uZvI312TPqxNWShFXL
Coppélia / Tableau 3: No. 20 Fête de la cloche: IV. Le travail (La fileuse),0,False,122360,spotify:track:08d37IkFf4ftF06OeCbBmU,spotify:album:7jKT8NC2XfAs9RFKsrGz2p
epiphany,62,False,289749,spotify:track:08fa9LFcFBTcilB3iq2e2A,spotify:album:2fenSS68JI1h4Fo296JfGr
Chariot,52,False,239173,spotify:track:08kTO4EW0jb07zNsCNM83w,spotify:album:0Fm4Qx8IVHEEBYPeRzNUGI
Back In Black,80,False,255493,spotify:track:08mG3Y1vljYA6bvDt4Wqkj,spotify:album:6mUdeDZCsExyJLMdAfDuwh
Alter Ego,56,False,247493,spotify:track:08pPhcvPmphUEx3pEBZwGZ,spotify:album:2Gxd1fr4RFHVNx6IxGr9I7
Down Once More / Track Down This Murderer,33,False,710466,spotify:track:08w39owyASWYcB9lO30DRC,spotify:album:36bEg6FTBaZGLg9ngJZIU6
"Nocturne No. 1 in B-Flat Minor, Op. 9 No. 1",15,False,345800,spotify:track:08wPzTIkAGQ8GdCmVQxvIE,spotify:album:0lrM7kR5o7iqkajLKIlzRg
Icarus,0,False,230933,spotify:track:08xsxiuRjKDOmNJWdWdhRO,spotify:album:7G36cnLPx9CuqnmZXYna4a
Clockwork,34,False,227360,spotify:track:09SIbdUVr34sBd7Uwwt63J,spotify:album:6YfGgOaUnhs0A9brMqjpHf
"Piano Sonata No. 11 in B flat, Op. 22: 4. Rondo (Allegretto)",1,False,350866,spotify:track:09TzZIZStFNY1Kza5CEgRr,spotify:album:7xbsSOswKgms1fUFuwKArz
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),75,True,204763,spotify:track:09gysnJpfQ3ublBmJDfcEC,spotify:album:4q4rHdKxyCzxuQrPcdjPyC
Pictures at an Exhibition (Orch. Ravel): Promenade III,3,False,29760,spotify:track:09lmHgk6RgtzK2uszcrSVM,spotify:album:1b2aoeaYZZBWmJoavOQhnd
"String Quartet No. 1 in C Major, Op. 49: II. Moderato",1,False,269200,spotify:track:0A5oxICmtISYvCLCKY5BZs,spotify:album:4V2YVRjysd08RF0GLRDDK7
Masquerade,38,False,197011,spotify:track:0AABiBAIYQCMpLI0ODbDDL,spotify:album:1p2OBhqq0d1N8awjHV9xA3
Insomnia,46,False,207125,spotify:track:0AAEFC3RGirgzRFhi44Y79,spotify:album:1cBAfX0otvkoIOI6HtOrAc
"Symphony No. 7 In A, Op. 92: 2. Allegretto",7,False,465333,spotify:track:0ADhD2DsEi5OTt21ljNUBz,spotify:album:2DQTNTznsteIZciZdyeWdj
