name,uri,popularity,followers,image_url
Myung-Whun Chung,spotify:artist:4hdiwtmc6OEFFxpSlwwmby,45,2972,https://i.scdn.co/image/f4b67441af1209f35f44684e0e7e623da5550f4f
New Dominions,spotify:artist:0PzFyYSC4Y7JarVyByrJPc,3,310,https://i.scdn.co/image/ab6761610000e5eb4c275a91813c432ce13b5fbc
King Sis,spotify:artist:47jdlqzmvdk0SFUU0gweMz,41,7912,https://i.scdn.co/image/ab6761610000e5eb5ac8b086a1d907a76700604b
Colbie Caillat,spotify:artist:6aZyMrc4doVtZyKNilOmwu,67,2385595,https://i.scdn.co/image/ab6761610000e5eb9bc0756eb16b241111bbc72b
The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,93,49520797,https://i.scdn.co/image/ab6761610000e5ebb5f9e28219c169fd4b9e8379
Hwa Sa,spotify:artist:7bmYpVgQub656uNTu6qGNQ,63,3319700,https://i.scdn.co/image/ab6761610000e5eb6de000137b41e45cc33a3566
UGA Noteworthy,spotify:artist:6MyHz1OaVtj1w2y6JTu2u5,10,1230,https://i.scdn.co/image/ab6761610000e5eb1918aa487034f94f448691f8
Mark Ronson,spotify:artist:3hv9jJF3adDNsBSIQDqcjp,74,973083,https://i.scdn.co/image/ab6761610000e5eb105cc9628c315b29d299fbb4
Rosl Schwaiger,spotify:artist:4D24idOvS0AphoBqEIoEeq,9,29,https://i.scdn.co/image/ab67616d0000b273b3042b07876ff9f22171b229
AleXa,spotify:artist:4jCGRzuZkwo8CxboiANMEU,51,286025,https://i.scdn.co/image/ab6761610000e5eba5d79c36c464a18b9d0d5d79
miss A,spotify:artist:1BEohdSWSBggmO979tzRwW,48,823688,https://i.scdn.co/image/ab6761610000e5eb3b93ad49bde5a3655aef95cd
Sofie Royer,spotify:artist:2P2BXSc0Wxpf10Fpno38rl,41,10974,https://i.scdn.co/image/ab6761610000e5eb20f953c04b3b0f83d9f7e385
Rilo Kiley,spotify:artist:2cevwbv7ISD92VMNLYLHZA,47,208362,https://i.scdn.co/image/7b2813bb4afb38f0dab9470a514091fc4ef6b1a1
Maurizio Pollini,spotify:artist:2VIdKQmRHnWofsR4odfFOh,53,52254,https://i.scdn.co/image/b569f4420a0c5257c26c745a8928cac516dd4144
New York Philharmonic,spotify:artist:3gacryguGmpmCvgPGt2CBI,54,93527,https://i.scdn.co/image/ab6761610000e5ebaac46a30dc91a8148051a633
Philippe Herreweghe,spotify:artist:2ozcTa5tl8qhSbhJKM60I5,46,15858,https://i.scdn.co/image/914364be0f93ff2756c1352c2a2a5ae25ddb53cd
Italo Tajo,spotify:artist:7vqx8IiSqPIFjFBzstDQmn,12,83,https://i.scdn.co/image/bc050466b5332b694ffc206d1832eabab6e95adb
Basick,spotify:artist:7pXKdkQsYFCMG2omRxheJ2,42,39239,https://i.scdn.co/image/ab6761610000e5eb39bf033dbb25e5483994f51c
Kat Dunbar Linker,spotify:artist:512QZ1TM6L4uXmWCVOKHtV,0,0,
Lindsey Stirling,spotify:artist:378dH6EszOLFShpRzAQkVM,64,1937259,https://i.scdn.co/image/ab6761610000e5eb91f0483b42b890cdd4371e47
Sydney James Harcourt,spotify:artist:2fHcpUAFhqmfloo2HkBN3e,44,250,
ASTRO,spotify:artist:4pz4uzOMpJQyV8UTsDy4H8,58,1723485,https://i.scdn.co/image/ab6761610000e5eb6034058cfde0084f922bb284
Jason Weaver,spotify:artist:5UdPkKWd8YNR5xGcmqH9QJ,59,6708,https://i.scdn.co/image/ab67616d0000b2730cc79e7adefed420553e65fe
David Ogden Stiers,spotify:artist:0N0dbr5s2y20PAo2cDAeVP,47,4326,https://i.scdn.co/image/ab67616d0000b273ce38706e9a44f5ba4f48b49b
DKZ,spotify:artist:31eyTcfjAke5hFX3az3nRE,39,66657,https://i.scdn.co/image/ab6761610000e5ebaccf8c8763bf2fa909677c71
Ephraim Sykes,spotify:artist:3brilvMAN6ILRUMvaqJWdG,41,286,
