tag,artist_mbid,mb_tag
,f2da4752-8db0-4e54-8f30-680acaa8e1cf,2008 universal fire victim
,f319ec6a-9290-449b-baef-4244809c487a,2008 universal fire victim
,f46bd570-5768-462e-b84c-c7c993bbf47e,2008 universal fire victim
,f86342be-eef7-445b-90c9-250bdf3f0b3b,2008 universal fire victim
,01b8b5bf-06cb-45da-85fb-61ada72fcd69,2010s
,037b679d-ab3c-4434-a38b-74700ee48890,2010s
,07832b42-8826-4ab1-acd3-c49a2f595ffe,2010s
,0ab49580-c84f-44d4-875f-d83760ea2cfe,2010s
,0d79fe8e-ba27-4859-bb8c-2f255f346853,2010s
,1036b808-f58c-4a3e-b461-a2c4492ecf1b,2010s
,122d63fc-8671-43e4-9752-34e846d62a9c,2010s
,164f0d73-1234-4e2c-8743-d77bf2191051,2010s
,20244d07-534f-4eff-b4d4-930878889970,2010s
,2c69465c-0f76-45ce-90a2-1ed0fdacc997,2010s
,3377f3bb-60fc-4403-aea9-7e800612e060,2010s
,650e7db6-b795-4eb5-a702-5ea2fc46c848,2010s
,6de0f914-3e60-4418-be3b-42e0feb6eb4d,2010s
,7e9bd05a-117f-4cce-87bc-e011527a8b18,2010s
,830e5c4e-6b7d-431d-86ab-00c751281dc5,2010s
,859d0860-d480-4efd-970c-c05d5f1776b8,2010s
,8dd98bdc-80ec-4e93-8509-2f46bafc09a7,2010s
,8e494408-8620-4c6a-82c2-c2ca4a1e4f12,2010s
,91a81925-92f9-4fc9-b897-93cf01226282,2010s
,942a9807-9c1a-4a0e-a285-1fde2c5be9d1,2010s
,94c338ff-1985-4429-9dc8-997b61bb5932,2010s
,9b94ac1a-b997-4414-9385-96178b5ef99c,2010s
,9fff2f8a-21e6-47de-a2b8-7f449929d43f,2010s
,a0498514-c21c-4e85-8dbf-a1b92374a06b,2010s
,a1421d73-1a21-484b-97ad-77c9a5676daf,2010s
,a3ee920f-4e7f-4993-8aca-4b8538cfaa4a,2010s
,afb680f2-b6eb-4cd7-a70b-a63b25c763d5,2010s
,b12ef43e-72ad-43d0-b216-a8cd32f78852,2010s
,b629da42-c668-49d2-be67-498605ee2a13,2010s
,b7d92248-97e3-4450-8057-6fe06738f735,2010s
,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,2010s
,c234fa42-e6a6-443e-937e-2f4b073538a3,2010s
,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,2010s
,cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493,2010s
,cecc42fb-9657-4b54-ad2f-7b73eefaef12,2010s
,dff0d392-4cd5-4052-9fbb-f485df3891e5,2010s
,e0140a67-e4d1-4f13-8a01-364355bee46e,2010s
,e119e5ff-0de0-421c-a630-0516c6acede8,2010s
,e4bc69e2-a064-4f93-ada1-f7f209cc1cc3,2010s
,ec2bcb77-b9a1-49e2-bfe7-419586bbef48,2010s
,f4d5cc07-3bc9-4836-9b15-88a08359bc63,2010s
,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,2010s
,fc7bbf00-fbaa-4736-986b-b3ac0266ca9b,2010s
,0b30341b-b59d-4979-8130-b66c0e475321,2020s
,0d79fe8e-ba27-4859-bb8c-2f255f346853,2020s
,0fe5df51-ba65-4784-ba85-7d024a107a8a,2020s
,1d2c24a6-9ae6-460b-a65e-63671c9fbdd9,2020s
,20244d07-534f-4eff-b4d4-930878889970,2020s
,3377f3bb-60fc-4403-aea9-7e800612e060,2020s
,6925db17-f35e-42f3-a4eb-84ee6bf5d4b0,2020s
,7eb1ce54-a355-41f9-8d68-e018b096d427,2020s
,942a9807-9c1a-4a0e-a285-1fde2c5be9d1,2020s
,9fff2f8a-21e6-47de-a2b8-7f449929d43f,2020s
,a24f2bd3-0d1b-4c03-8d91-6297ab5a2811,2020s
,a4ee23b5-3c30-4cbe-9b9c-5fd7e2709d16,2020s
,b12ef43e-72ad-43d0-b216-a8cd32f78852,2020s
,b51c672b-85e0-48fe-8648-470a2422229f,2020s
,b629da42-c668-49d2-be67-498605ee2a13,2020s
,b7d92248-97e3-4450-8057-6fe06738f735,2020s
,bba737dc-7ec8-482d-b79f-68d949ef2c7f,2020s
,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,2020s
,cecc42fb-9657-4b54-ad2f-7b73eefaef12,2020s
,e0140a67-e4d1-4f13-8a01-364355bee46e,2020s
,f4abc0b5-3f7a-4eff-8f78-ac078dbce533,2020s
,a704bc81-1d32-4b21-a1fd-ffaa6a1d86e1,27 club
,dfe9a7c4-8cf2-47f4-9dcb-d233c2b86ec3,27 club
,05cbaf37-6dc2-4f71-a0ce-d633447d90c3,2nd gen k-pop
,a13898e2-e488-498e-a89c-d0e920f74d4d,2nd gen k-pop
,b7442f18-d9be-4185-8b51-482510046156,2nd gen k-pop
,ec2bcb77-b9a1-49e2-bfe7-419586bbef48,2nd gen k-pop
,fcc7e9c8-3474-4221-b83a-27890982e0fa,2nd gen k-pop
,1f9df192-a621-4f54-8850-2c5373b7eac9,32 sonatas
,270bebcb-f400-4912-a8ed-1827ae562405,3rd gen k-pop
,30aeb57f-bb16-47fa-86ca-79fc57b4d12c,3rd gen k-pop
,48646387-1664-4c9a-9139-9bfd091b823c,3rd gen k-pop
,4f0cb3b7-6c06-4317-ae35-ddf3106a17ee,3rd gen k-pop
,8da127cc-c432-418f-b356-ef36210d82ac,3rd gen k-pop
,9c15986d-ff1f-4d91-9708-f50f7445884f,3rd gen k-pop
,9f6a8346-15f3-4ec4-a632-f5270b0945a3,3rd gen k-pop
,b3785a55-2cf6-497d-b8e3-cfa21a36f997,3rd gen k-pop
,b6b21b0c-a706-4b46-a929-bd4d21b06cad,3rd gen k-pop
,e04d239e-9fa8-49b3-b9b7-9e439c3cb1d1,3rd gen k-pop
,eee862ac-0d4d-441c-94fe-9e2c681d7a48,3rd gen k-pop
,0068ae6c-7156-40f9-a81f-39294af6a549,4th gen k-pop
,06bb5fcc-f2b3-428d-b8e7-079060311b6d,4th gen k-pop
,1ee37742-1e3d-4e61-84d2-bc85f4c1459a,4th gen k-pop
,2b7c9893-7eeb-4b3e-852c-058545cb86d0,4th gen k-pop
,2d623e82-73e2-4179-9c44-e963980f2d58,4th gen k-pop
,2e010493-669b-4af5-b7ef-4378eeeb3e7c,4th gen k-pop
,2f01ffa9-1b2f-4b96-8bd0-7cd90a8444f4,4th gen k-pop
,527973c7-9a9f-40bf-a52c-8cc2a7115c1a,4th gen k-pop
,5933a9e9-116d-4e15-86b3-f2ff05f66dc7,4th gen k-pop
,9d027d72-790e-40ec-bbb7-61aa613457de,4th gen k-pop
,a1baad4a-e601-47f7-938c-857b7bad9494,4th gen k-pop
,a887a52d-56b4-4078-881a-e141bcd033d3,4th gen k-pop
,b8885c4c-936e-4871-8af9-241e90004d08,4th gen k-pop
,bce172fc-51bb-43f7-9a25-b406a0a581d5,4th gen k-pop
,d3e0e7ec-9cdd-4ba8-9715-707e47f07d3c,4th gen k-pop
,ddea2b8e-f772-4c39-ab90-e1983b74a149,4th gen k-pop
,de4feabc-cd21-4568-a09c-2086bfebe2f4,4th gen k-pop
,40017bd7-139b-4998-8688-9b2478ad3325,4th gen kpop
,b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,60s
,9f47e427-c31c-49fe-90d6-92ab6029d405,70s
,ba550d0e-adac-4864-b88b-407cab5e76af,70s
,8b26558a-1073-45cf-b9a2-233703654ffb,80's
,79239441-bfd5-4981-a70c-55c3f15c1287,80s
,8bfac288-ccc5-448d-9573-c33ea2aa5c30,80s
,ba550d0e-adac-4864-b88b-407cab5e76af,80s
,5b11f4ce-a62d-471e-81fc-a69a8278c7da,90s
,603ba565-3967-4be1-931e-9cb945394e86,90s
,8bfac288-ccc5-448d-9573-c33ea2aa5c30,90s
,b95ce3ff-3d05-4e87-9e01-c97b66af13d4,90s
,ba550d0e-adac-4864-b88b-407cab5e76af,90s
,164f0d73-1234-4e2c-8743-d77bf2191051,_add named after
,79c67eb5-3851-4b28-bfe0-3adfcd6f58d7,a cappella
,abbbef3b-19d7-4ef8-9ef2-e4d2c556509c,a cappella
,ea6c62ec-701e-4f01-bbcc-adfad2d3be70,a cappella
,9252ca18-015c-484c-ae59-5670784887d3,a'tin
,a7f7df4a-77d8-4f12-8acd-5c60c93f4de8,academy award winner
,2efac2d7-e5ad-4e7b-87c9-ef678fbbaaab,acoustic
,b5179744-f217-4455-9d8b-17b8d4fdeb93,acoustic
,3c004c98-aab6-4b63-a2df-e07c98e73b0a,acoustic guitar
,160629ab-ec18-4931-8c95-02cb92d06186,acoustic rock
,44cf61b8-5197-448a-b82b-cef6ee89fac5,acoustic rock
,5b11f4ce-a62d-471e-81fc-a69a8278c7da,acoustic rock
,73c3f499-60e2-44e1-81dd-7fe2191461fa,acoustic rock
,82eb8936-7bf6-4577-8320-a2639465206d,acoustic rock
,b5179744-f217-4455-9d8b-17b8d4fdeb93,acoustic rock
,bd13909f-1c29-4c27-a874-d4aaf27c5b1a,acoustic rock
,38f59974-2f4d-4bfa-b2e3-d2696de1b675,activists
,9a93190b-3e24-4586-bc10-aefd1ad8de01,actor
,b3c7c6d6-5907-45a8-b589-1ec2572be4fd,actor
,a1421d73-1a21-484b-97ad-77c9a5676daf,adam levine
,4bdcee62-4902-4773-8cd1-e252e2e31225,adult alternative
,0307edfc-437c-4b48-8700-80680e66a228,adult contemporary
,0ab49580-c84f-44d4-875f-d83760ea2cfe,adult contemporary
,0be325a6-3c6d-4e3a-97ed-e59539b1014f,adult contemporary
,18a33653-bbaf-4aa7-884c-73f02a7a4515,adult contemporary
,3f5be744-e867-42fb-8913-5fd69e4099b5,adult contemporary
,82eb8936-7bf6-4577-8320-a2639465206d,adult contemporary
,900ab237-327b-44e2-87e4-73250bbe025a,adult contemporary
,a42d3fd5-55de-4206-86c3-4fbb5404018f,adult contemporary
,b202beb7-99bd-47e7-8b72-195c8d72ebdd,adult contemporary
,b2c2d4fe-8c1e-44ec-8be6-ff500e105a90,adult contemporary
,b83bc61f-8451-4a5d-8b8e-7e9ed295e822,adult contemporary
,ccb8f30e-4d71-40c4-8b1d-846dafe73e2c,adult contemporary
,cdcd53c9-f37c-48cc-b7e3-dfe34be22e92,adult contemporary
,ec37ecfe-65b4-49a4-83c7-ee1ccaeec2e3,adult contemporary
,fc971eae-9928-4ab8-9e93-2cac4f74adaa,adult contemporary
,aab5c954-cabe-432e-899e-1c4f99757327,africa
,535afeda-2538-435d-9dd1-5e10be586774,afro pop
,29fab96f-c3a2-4251-80f6-7ccda50da706,afrobeats
,78a19169-ac75-4868-b504-7e2e073118e0,afrobeats
,9252ca18-015c-484c-ae59-5670784887d3,alab
,9774cfd1-8862-42bd-919e-156c31f079b4,album rock
,faf4cefb-036c-4c88-b93a-5b03dd0a0e6b,alien lives matter
,9252ca18-015c-484c-ae59-5670784887d3,all 5: dancers - choreographers
,9252ca18-015c-484c-ae59-5670784887d3,all 5: singers - songwriters
,9252ca18-015c-484c-ae59-5670784887d3,all 5:dancers - choreographers
