artist_mbid,other_mbid,relationship_type
05517043-ff78-4988-9c22-88c68588ebb9,5d02f264-e225-41ff-83f7-d9b1f0b1874a,member of band
05681492-4647-45ae-916f-c87087ce2199,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
059b7e2c-d808-4375-af06-55775f23db05,90117566-a386-4772-9e7c-7ed2e158b793,is person
059b7e2c-d808-4375-af06-55775f23db05,e374ad24-03c3-4f87-bf45-a726e1f91cb5,is person
05efe6a1-1410-43c1-a31b-3bfeeca46863,3bd894b2-ec26-4ca0-b6cf-b5e66ead1f2e,member of band
061dc30d-93a6-4699-b288-60beb7d12596,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
064eabba-43e2-41dd-aeb0-e6a7b177aa78,7c7a377e-2137-4120-ac20-c3d7286256e6,member of band
06557cfa-5940-4716-a089-ab3564de3418,30f9b3e7-690b-4199-8441-916c37176532,member of band
06783a0f-cf91-4fe6-97dc-5f303dcdb36c,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
06a0a239-40b4-4205-bb2e-b931d4cab71d,37fa0bfd-8bf7-422c-a97a-f8deda49b3a4,member of band
06c53df7-0812-4023-a3a8-7b3bd2c4f451,27e2997f-f7a1-4353-bcc4-57b9274fa9a4,member of band
070d193a-845c-479f-980e-bef15710653e,d651d80e-6137-4440-81da-fff5a27a79c4,is person
0769c81d-7758-43b7-84a8-1451ce56131c,b0460354-68e9-4a13-a237-488edea254ff,member of band
0777faa3-4a8e-4616-829e-58d91a9a4254,fb588f59-af1a-493a-9508-ed487caa2a11,subgroup
078a20cd-8428-40dc-a71d-55f131404a59,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
07f3fa27-d416-4d43-b11b-ad8086a2e8c3,9df2184b-1e49-4717-a5f5-54ca1c38bcb4,member of band
084e2da9-6685-425b-bab4-dc045f9df625,3b56979c-8c87-4e4e-997a-38c247a560e1,member of band
084f1b8b-1efd-40fb-9631-008368aa29c8,7fe96b15-5608-430e-ad25-77a01353c5d9,member of band
08525643-7a01-411e-8188-8bf57261c8b3,9df2184b-1e49-4717-a5f5-54ca1c38bcb4,member of band
0875c90e-3a3f-4c32-92a9-ba26b44efded,02ceff75-7363-493e-a78d-912dc86c7460,member of band
08969494-60b6-47cb-891e-6b320ce95fcc,1cf09dca-af48-4857-9222-da90a8ef9fcf,member of band
09023101-5b1f-43f0-b44d-4f2f31d33fa5,3255ddb2-bd7f-4850-b314-bdfa10d14706,member of band
090d8a25-6271-4e51-b5a5-622cf128c7be,5700dcd4-c139-4f31-aa3e-6382b9af9032,member of band
0911a2dd-1e8f-4c63-8c93-e5b853298383,9f92f1e5-7b25-4be2-ab61-76b6db556887,member of band
0923598e-2b97-4527-b984-5feed94c168d,b7ffd2af-418f-4be2-bdd1-22f8b48613da,member of band
092a6f72-c836-43d1-a81e-0279807612d8,b9a13710-28dd-41f8-bd03-ce0b3ae406d5,member of band
0931b6d2-c469-4203-ab70-00d8222e6bdd,b6b21b0c-a706-4b46-a929-bd4d21b06cad,member of band
09323163-ff22-48c6-99ea-74bdcc6373bd,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
0950466e-151d-434b-ac17-e7c57d4a7898,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
09536ce4-9052-4b05-a0c0-a5287ff0d138,21ec3c30-2c3e-4076-8fdd-9ff293926d45,is person
09696205-d071-497e-86d8-774114ad6f08,9c15986d-ff1f-4d91-9708-f50f7445884f,member of band
09696205-d071-497e-86d8-774114ad6f08,9d17d14a-e81c-410e-a90b-b02b0a9de6f8,member of band
09696205-d071-497e-86d8-774114ad6f08,dfa98803-0f8e-4aac-a3d2-a2614db30074,member of band
09720eec-3871-49d5-932d-eb7542768cd3,0d79fe8e-ba27-4859-bb8c-2f255f346853,member of band
0972b0cc-48bc-4fb0-8226-4b80da18c304,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
097e3f11-6ddd-4d0a-8e10-15207b49a043,509d1ba6-dcf4-4ed1-a422-157ecdffef72,member of band
097e3f11-6ddd-4d0a-8e10-15207b49a043,6e4a70a3-3a95-4423-a619-e367ce82e2b5,is person
097e3f11-6ddd-4d0a-8e10-15207b49a043,fba4d091-c14d-4296-b204-aedbe59b8ba9,is person
09875e13-0b6f-48a1-853f-0c9f338a1da6,fcc7e9c8-3474-4221-b83a-27890982e0fa,member of band
09bfc31a-ef7f-4537-836e-f3daeb76709a,1733a48f-2045-4b60-9130-aaa9393724a1,member of band
09d1944a-36d5-413e-badd-0d45e4306d4a,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
09d8070e-694d-48dc-b103-84667d0975f7,be547bca-8718-4762-bf1b-34a3bdb4938f,member of band
09d9b297-c5db-4b3d-9fb2-25646c696fff,f5bff650-07d0-4f8c-bf48-45497f465b79,member of band
09db707f-0d7d-4f53-9b7c-5999a44149f8,58dccd50-1dcf-4674-8ba6-31058695d24d,member of band
09db8e0f-232f-4bca-9254-03d5d83d5c8d,95663592-1447-4579-90f7-c94733476667,member of band
09fc39de-ad81-47be-ab4a-2511a585089d,e04d239e-9fa8-49b3-b9b7-9e439c3cb1d1,member of band
0a16d631-0f75-4c0a-98d5-1c46adf1219e,b33123ae-8a12-4d1d-8982-013d807b0951,is person
0a2cc98f-257e-47b0-b3a4-0effca9402d8,08306695-0943-4f91-be93-a39ce7a7804f,member of band
