artist_mbid,artist_mb_name,artist_sort_name,artist_disambiguation,artist_type,artist_area,artist_birthplace,artist_start_date,artist_end_date,artist_gender
db42e0e4-09fd-4184-83ed-3ffe045786a3,Eli Heisler,"Heisler, Eli",,Person,United States,Los Angeles,,,Male
db48610c-6d8f-4d10-90ca-c4d14bb1a8b1,G-Eazy,G-Eazy,,Person,United States,Oakland,1989-05-24,,Male
db4da9ba-c52b-4df9-876f-7c6db3582256,Axl Rose,"Rose, Axl",,Person,United States,Lafayette,1962-02-06,,Male
db508228-37ec-48e4-a66a-4e4331fd158d,Anthony Preston,"Preston, Anthony",,Person,United States,Texarkana,,,Male
db5b854a-3d83-4606-ab7e-b41efabc3007,최예원,"Choi, Yewon",,Person,South Korea,Busan,1999-06-18,,Female
db6e012e-5ad3-46dd-ae2e-38d5bba00872,Pete Harper,"Harper, Pete",,Person,,,,,Male
db6ed20e-bd45-48cc-8312-e039ba74a65d,Richard Saunders,"Saunders, Richard",Thirdstory member,Person,,,,,Male
db746e15-687d-4b2a-959b-788988cc5037,박유천,"Park, Yoo-chun",,Person,South Korea,Seoul,1986-06-04,,Male
db778586-4a21-4495-b641-3dd12f9f48fa,Randolph Ellis,"Ellis, Randolph",,Unknown,,,,,
db815e85-6723-4eec-a3a3-83cf71925283,Krystal Bailey,"Bailey, Krystal",,Person,United States,,,,Female
db8fad3a-e131-47a1-8782-c2ee93708cdd,Bebe Rexha,"Rexha, Bebe",,Person,United States,New York,1989-08-30,,Female
db980e53-a9d1-44fc-b300-b1f54cedd0ca,Aniela Gottwald,"Gottwald, Aniela",,Person,,,,,
db9c85a0-03ba-4862-aa9b-25270a3ce5be,Cameron Montgomery,"Montgomery, Cameron",,Person,,,,,Male
db9d8fec-f474-41cd-9410-dc5ee804c6ad,The Carter Administration,"Carter Administration, The",hip hop production,Person,United States,,,,Male
dba14974-c3a7-43db-8de4-cfa996c1b05c,Lyn Collins,"Collins, Lyn",,Person,United States,Abilene,1948-06-12,2005-03-13,Female
dbafe9ce-87eb-40ff-b787-b86f3773bcb0,Victoria,Victoria,Chinese singer,Person,South Korea,Qingdao,1987-02-02,,Female
dbb7d56b-be9d-4db7-8664-3dc3afb80f95,Brynjar Leifsson,Brynjar Leifsson,"guitarist, Of Monsters and Men",Person,Iceland,Keflavík,1990-09-11,,Male
dbb9c5ee-888a-40e5-85b4-150a86898d0f,영흔,Young-heun,,Person,South Korea,,,,Female
dbc55a55-fa52-4963-9fb1-1feaf4c748a8,Exy,Exy,,Person,South Korea,Busan,1995-11-06,,Female
dbc94882-294a-4620-9bf8-15a926b4aa02,山根涼羽,"Yamane, Suzuha",,Person,Japan,Hyogo,2000-08-11,,Female
dbd4af8c-23cc-4a86-ab6f-260afdd30684,Bradford Smith,"Smith, Bradford",engineer(?),Person,,,,,
dbf295d7-8e29-44db-b2f7-6eb1e40e4c8e,Steven Adler,"Adler, Steven",,Person,United States,Cleveland,1965-01-22,,Male
dbf9177d-6b5f-4de8-b457-61fc73fbe543,Sebastian Ingrosso,"Ingrosso, Sebastian",,Person,Sweden,Nacka,1983-04-20,,Male
dbfa33c8-f5f2-4b9a-8f17-b322208bfd66,Robopop,Robopop,,Person,,,,,Male
dbfcb9bc-56b6-46d3-a854-f5013dbf3929,JINU,JINU,"South Korean singer, WINNER member",Person,South Korea,Sinan,1991-09-26,,Male
dc022d9f-ea8b-40a5-bcd3-044b25fae5f8,Beach Noise,Beach Noise,,Unknown,,,,,
dc0a3c08-5d4c-4b7a-9493-0ade7b63a290,Kako,Kako,K-pop producer,Person,,,,,
dc1db8bc-ebef-4b4a-821d-29538ef675a8,Dino Meneghin,"Meneghin, Dino",,Person,United States,,,,Male
dc22a70f-0f64-4b4e-acba-fc71cda82dfb,Jack Nuber,"Nuber, Jack",,Person,United Kingdom,,,,Male
dc3119c9-2fe4-4356-ac14-6bc749869c46,Lixa,Lixa,Lisa Hickox,Person,United States,,,,Female
dc38ff31-0879-4088-a881-0069650d7792,Andy Newmark,"Newmark, Andy",,Person,United States,Port Chester,1950-07-14,,Male
dc3ca037-d183-41a8-b7c6-f8fbf426e1ef,SAARA,SAARA,Finnish singer Sara Forsberg,Person,Finland,Jakobstad,1994-05-02,,Female
dc3d4ae5-aa42-45f5-823e-bcb6b118110c,임나영,"Im, Na Young",,Person,South Korea,Seoul,1995-12-18,,Female
dc4a19d5-04d8-4e5d-8541-1d5cc6e8bf86,JJ Company,JJ Company,,Unknown,,,,,
dc4f17d4-0bf0-4173-892c-6ca0cbd93b19,BC Jean,"Jean, BC",,Person,United States,,1987-04-22,,Female
dc616db7-3a2b-4d37-8c56-c4e3ad9ad555,Nermin Harambašić,"Harambašić, Nermin",,Person,Norway,,,,Male
dc7c8277-d4b6-4bca-bdfe-50eee42536ac,NCT DREAM,NCT DREAM,,Group,South Korea,Seoul,2016-08-24,,
dc997356-3673-4352-bd8b-e82d840564bc,Jean-Michel Byron,"Byron, Jean-Michel",,Person,South Africa,,1957-10-13,,Male
dc9c230d-cc77-40e3-a203-69dab8209615,Colotis Zoé,"Zoé, Colotis",,Person,France,,,,Female
dc9f1bc0-68e1-48c7-b2ce-40e03a70843d,Bobbye Hall,"Hall, Bobbye",,Person,United States,Detroit,1950,,Female
dcac4034-e17b-4574-bfa0-6e251124443e,岡部麟,"Okabe, Rin",,Person,Japan,Ibaraki,1996-11-07,,Female
dcad99e7-3c3e-4c78-bf8a-68203e17da48,Jeezy,Jeezy,"US rapper Jay W Jenkins, f/k/a Young Jeezy",Person,United States,Columbia,1977-09-28,,Male
dcd4701d-64ec-443d-bfbf-73fc87c44bd6,Angèle,Angèle,"Belgian female singer, Angèle Van Laeken",Person,Belgium,Linkebeek,1995-12-03,,Female
dcd522c9-ac64-4c53-b080-6aab4abf2b44,Clint Black,"Black, Clint",,Person,United States,Long Branch,1962-02-04,,Male
dcddc721-9cdf-4f83-9112-eeb08955b4d3,Mikko Karmila,"Karmila, Mikko",,Person,Finland,,1964,,Male
dce1db43-17bd-47c3-9f12-7e70a145548d,PK,PK,Korean producer,Person,South Korea,,,,Male
dcee8680-5961-4c10-a7ed-4727009eae12,藤江れいな,"Fujie, Reina",,Person,Japan,Kamagaya,1994-02-01,,Female
dcf075ad-433b-4b50-a9dc-d9fc7201b566,Caitlin Evanson,"Evanson, Caitlin",,Person,,Seattle,1979-02-26,,Female
dcf35d49-08f9-4538-8b0a-296542099986,Eric Caudieux,"Caudieux, Eric",,Person,United States,,,,Male
dd03ca01-e54a-4960-b1d0-5e7d7f0181e4,Stephan Moccio,"Moccio, Stephan",,Person,Canada,St. Catharines,1972-10-20,,Male
dd06d515-b191-42ee-b9b5-1cb63393f4f7,ddodde,ddodde,,Person,South Korea,,,,Female
dd0812e2-b587-4d8e-97a2-365b3598133b,김민주,Kim Minju,IZ*ONE,Person,South Korea,Gwanak District,2001-02-05,,Female
dd157e3f-a5c6-4ddf-9fc1-f615f719db13,강승윤,"Kang, Seung Yoon",,Person,South Korea,Busan,1994-01-21,,Male
dd37f744-e694-49be-8b4f-5bec4a35e2d4,Lannie McMillan,"McMillan, Lannie",,Person,,,,,
dd3c92b3-ac8c-46f0-8f1a-8150539705a9,Phredley Brown,"Brown, Phredley",,Person,United States,,,,Male
dd3ee893-0371-4dbf-a632-80174c402c31,Slumberman,Slumberman,techno,Person,Italy,Bologna,1976-05-24,,Male
dd776077-27c3-4f12-a838-456815ec8066,진솔,Jinsoul,South Korean singer,Person,South Korea,South Korea,1997-06-13,,Female
dd7d3ac3-3e51-44b6-8491-496d6c34fa7d,Maddox Chhim,"Chhim, Maddox",,Person,,Spartanburg,,,Male
dd841dc5-8408-461c-b489-4c02b88a3aac,Andrés Torres,"Torres, Andrés","Colombian producer, songwriter and drummer",Person,Colombia,Bogotá,1987,,Male
dd8c0703-2a4f-4306-be21-6b4e8417a745,DJ Riggins,"Riggins, DJ",,Person,,,,,
dd954cc1-402f-4f23-91b4-ffa3b1e3b142,BloodPop®,BloodPop,,Person,United States,Kansas City,1990-08-15,,Male
dd959a12-3b45-4fdd-be52-827796090ddf,河西智美,"Kasai, Tomomi",,Person,Japan,Fuchū,1991-11-16,,Female
dda1c5e2-e18e-40c8-a464-84014011ec65,최자,Choiza,,Person,South Korea,,1980-03-17,,Male
